,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,9206.82,3072.71,6221.75,5584.71,8575.03,31007.15,3620711.31,6168214.69,10900558.47,15048809.83,20875685.92,17047153.38,68868270.12,77175457.64,83412575.75,169147157.3
d_1,2688.95,12773.19,3224.17,5185.6,8659.3,34240.82,4283255.3,7675176.53,21718220.38,7112155.97,31785794.33,35540233.5,73226536.82,90068681.41,133877955.6,208122129.7
e_1,2912.27,2560.38,14052.6,6748.44,9190.02,32838.11,3978020.69,7522729.03,11453036.76,30168566.75,29037125.54,37376355.95,77869513.1,89265477.3,69385656.12,248081856.91
c_1,2366.99,2891.84,2888.05,26961.02,18886.5,36508.3,3452391.9,6613033.32,4893103.23,16200335.08,18612483.16,42161429.48,71685113.07,80860935.51,122649618.79,249580086.02
b_1,2435.37,3548.53,3138.25,6008.81,48457.26,67325.78,4388489.5,5907559.4,10631724.44,17721364.31,8846997.13,37588424.64,71130174.93,84337186.18,114796708.37,227926173.54
a_1,2548.15,3741.75,3236.72,6290.23,8456.58,251537.67,3757791.74,8663838.58,11156352.39,13485845.94,27806683.78,42617115.35,95246991.03,39815822.34,125100006.1,196364810.74
h_1,4120.93,4202.08,3510.39,8066.49,9947.83,35411.39,12837590.47,12598105.96,11622305.81,16076606.05,23748709.6,46036714.96,66445348.02,91303301.27,152337423.82,360911137.42
g_1,2474.68,6222.24,3689.44,7931.37,9890.51,35748.09,5358388.98,26106823.67,12624441.6,14420905.15,26519246.14,68008487.06,86224603.46,118289857.76,153729523.1,186716053.76
c_0,3579.35,4370.47,4081.13,4841.04,8547.26,48013.88,5557246.78,9500240.97,27444667.99,15598935.74,59338590.33,42921151.03,99117787.02,128891625.97,151716732.74,307879143.2
d_0,3249.77,2060.42,4105.41,14915.29,11914.22,40971.03,4990426.7,8307101.33,7725428.76,37450758.88,26436992.59,47223656.75,87824467.6,98084766.37,145175285.32,242448647.92
b_0,3285.78,3698.66,4487.19,7472.88,8886.95,35149.21,5599500.63,10563202.47,14247904.43,20042838.24,62009398.73,42641200.59,89460852.11,231547412.94,155292000.0,285359670.52
f_0,2083.76,4857.16,3552.15,8520.28,10823.21,41777.54,6291342.27,9472723.4,15088692.84,15198252.49,34361507.37,102855355.43,116265407.26,114942817.42,328384463.2,297333676.48
h_0,4234.38,4284.92,4175.35,7209.72,12152.66,40619.35,3359203.16,12274882.17,11730797.3,16932185.09,31114694.58,43436035.73,63760917.94,100533377.49,150955989.34,374225116.5
a_0,3475.74,3956.07,4352.32,7364.44,11370.96,22329.71,6453684.03,8284229.94,16047477.54,18991618.63,32195877.48,53257254.47,113729862.36,274228990.76,168711813.74,314051708.02
e_0,3461.79,4504.0,2353.69,8761.74,12877.34,42264.85,6064736.81,9437917.96,14542027.84,16745327.36,32970128.84,50788794.29,82005216.54,91124189.53,431064475.12,281855253.52
g_0,2706.04,6871.64,2593.23,6358.79,11396.81,43381.09,5724655.12,6231040.4,15811788.95,14259326.38,30756762.63,72520721.5,91348394.43,116013550.46,168896737.17,180777663.86
