,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.91,0.33,0.41,0.24,0.23,0.18,0.27,0.53,0.28,0.2,0.28,0.25,0.28,0.18,0.11,0.22
f_1,0.57,0.91,0.3,0.28,0.21,0.17,0.25,0.3,0.23,0.16,0.26,0.13,0.24,0.16,0.13,0.19
c_1,0.29,0.33,0.9,0.3,0.46,0.18,0.26,0.3,0.17,0.19,0.18,0.21,0.3,0.17,0.17,0.21
d_1,0.31,0.35,0.23,0.91,0.22,0.19,0.27,0.2,0.49,0.23,0.35,0.25,0.28,0.23,0.19,0.26
b_1,0.28,0.37,0.31,0.27,0.89,0.4,0.26,0.25,0.24,0.21,0.13,0.23,0.26,0.13,0.2,0.2
a_1,0.33,0.4,0.35,0.31,0.25,0.88,0.29,0.3,0.31,0.21,0.28,0.22,0.27,0.11,0.17,0.21
h_1,0.34,0.5,0.32,0.37,0.24,0.19,0.61,0.29,0.3,0.34,0.28,0.25,0.19,0.18,0.23,0.31
d_0,0.36,0.36,0.61,0.23,0.28,0.2,0.29,0.5,0.24,0.24,0.32,0.26,0.31,0.21,0.21,0.23
c_0,0.42,0.39,0.28,0.4,0.18,0.22,0.29,0.36,0.5,0.23,0.53,0.27,0.29,0.23,0.21,0.27
g_1,0.29,0.28,0.32,0.51,0.26,0.2,0.3,0.29,0.31,0.62,0.29,0.44,0.28,0.2,0.22,0.2
b_0,0.42,0.34,0.41,0.37,0.19,0.17,0.32,0.35,0.31,0.25,0.51,0.28,0.31,0.39,0.17,0.29
f_0,0.31,0.27,0.36,0.33,0.31,0.25,0.38,0.38,0.33,0.28,0.29,0.49,0.31,0.24,0.37,0.27
h_0,0.35,0.46,0.36,0.37,0.27,0.19,0.24,0.34,0.32,0.3,0.28,0.24,0.23,0.21,0.19,0.31
a_0,0.37,0.34,0.37,0.37,0.28,0.14,0.31,0.4,0.32,0.31,0.3,0.35,0.31,0.44,0.19,0.26
e_0,0.25,0.39,0.37,0.39,0.3,0.23,0.34,0.34,0.32,0.27,0.33,0.29,0.32,0.25,0.4,0.21
g_0,0.32,0.3,0.35,0.54,0.26,0.21,0.31,0.25,0.31,0.18,0.26,0.39,0.32,0.22,0.23,0.22
