,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,14.35,0.7,0.49,0.45,0.64,0.73,0.99,0.99,0.54,2.6,1.3,1.12,1.06,1.16,1.07,1.17
f_1,0.58,13.21,1.62,0.64,0.5,0.5,0.88,0.88,0.87,0.82,0.86,0.46,1.04,0.89,1.0,0.56
e_1,0.53,0.69,12.69,0.82,0.71,0.67,0.98,0.88,2.39,0.92,1.08,0.93,0.83,0.9,0.87,0.61
c_1,0.61,0.55,0.55,16.13,1.7,0.53,0.94,1.01,0.79,0.35,0.56,1.16,1.06,0.92,0.86,0.9
b_1,0.65,0.63,0.61,0.71,14.98,1.71,0.69,0.67,0.83,0.76,0.51,0.98,0.83,0.77,1.01,0.98
a_1,0.78,0.61,0.57,0.75,0.64,23.66,1.05,1.0,0.88,0.85,1.08,0.99,1.08,0.62,1.11,1.12
h_1,0.85,1.24,0.7,0.84,0.59,0.59,3.54,1.58,0.84,0.97,0.82,0.9,0.69,1.03,1.28,1.13
g_1,1.61,0.69,0.59,0.72,0.65,0.56,0.96,4.34,0.85,1.13,1.01,1.91,1.03,0.96,0.61,1.47
d_0,0.46,0.78,0.71,2.52,0.7,0.58,1.12,0.96,2.22,0.7,1.07,0.83,1.07,0.83,0.92,1.22
c_0,0.97,0.96,0.66,0.49,0.53,0.74,1.38,1.04,1.09,2.25,3.29,1.11,1.31,1.47,1.03,1.59
b_0,1.06,0.95,0.68,0.79,0.37,0.67,1.28,1.05,0.91,0.94,2.64,1.09,1.25,2.65,1.33,1.09
f_0,0.96,0.55,0.59,0.71,0.65,0.86,1.14,1.05,1.14,1.21,1.24,3.22,1.08,1.25,1.18,3.79
h_0,0.98,1.41,0.77,0.67,0.58,0.63,0.54,1.45,0.87,0.9,1.3,1.14,0.88,1.12,1.6,0.96
a_0,0.84,0.98,0.68,0.87,0.69,0.33,1.21,1.06,1.33,1.18,1.39,1.04,1.42,3.29,1.19,1.13
g_0,1.59,0.63,0.62,0.75,0.66,0.69,0.89,0.7,0.85,1.11,1.22,2.16,1.1,1.2,0.89,1.32
e_0,0.99,0.95,0.53,0.73,0.78,0.74,1.2,1.18,0.9,0.91,1.41,1.18,1.45,1.23,0.99,3.42
