,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.98,0.81,0.67,0.9,0.69,0.77,0.99,1.57,0.95,0.95,0.99,1.0,0.93,1.0,1.0,0.66
f_1,1.23,1.98,0.75,0.7,0.68,0.64,0.93,0.96,0.91,0.95,0.86,0.67,0.86,0.97,0.92,0.62
d_1,0.71,0.84,2.12,0.58,0.67,0.65,0.96,0.7,1.65,1.06,1.19,1.06,1.05,1.05,1.07,1.22
c_1,0.69,0.78,0.71,2.3,1.35,0.79,0.89,0.88,0.44,0.73,0.72,0.92,0.89,0.81,0.9,1.02
b_1,0.79,0.75,0.73,0.87,2.67,1.24,0.87,0.87,0.83,0.79,0.51,0.9,1.03,0.77,0.82,1.01
a_1,0.7,0.85,0.88,0.81,0.73,3.89,1.01,0.82,0.91,0.89,1.07,0.86,1.18,0.59,0.99,0.9
h_1,0.84,1.04,0.92,0.81,0.69,0.62,2.03,0.84,0.94,1.3,1.15,1.11,0.82,0.94,1.34,1.18
d_0,0.83,0.83,0.57,1.54,0.84,0.75,0.99,1.52,0.81,1.02,1.08,1.09,1.09,1.04,0.96,0.91
c_0,0.8,0.9,0.98,0.69,0.62,0.68,1.11,1.06,1.66,1.15,2.12,1.23,1.35,1.55,1.2,1.12
g_1,0.74,0.71,1.38,0.81,0.66,0.74,0.9,0.84,1.2,2.4,1.1,1.4,1.13,1.12,0.93,1.2
b_0,0.74,0.96,0.91,0.9,0.57,0.58,1.22,1.09,1.09,1.21,1.91,1.29,1.24,2.34,1.14,1.27
f_0,0.56,0.67,1.02,0.95,0.9,0.82,1.23,1.02,1.08,1.19,1.17,2.13,1.19,1.2,1.26,2.62
h_0,0.81,1.07,0.96,0.84,0.78,0.89,0.75,0.94,1.05,1.41,1.02,0.99,0.88,1.02,1.43,1.04
a_0,0.8,0.91,0.96,0.83,0.8,0.53,1.04,1.15,1.2,1.15,1.32,1.28,1.05,2.38,1.14,1.15
g_0,0.74,0.81,1.26,0.77,0.83,0.86,0.95,0.87,0.91,0.87,1.08,1.67,1.11,0.85,0.79,1.38
e_0,0.46,0.87,1.11,0.99,0.85,0.92,1.24,0.89,1.01,1.11,1.2,1.19,1.2,1.1,1.19,2.31
