,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.07,2.11,3.08,3.68,2.8,2.92,1.28,1.13,1.21,0.92,0.73,0.78,0.7,2.46,0.79,0.79
f_1,3.85,1.07,3.19,3.34,3.42,2.36,0.89,0.93,1.24,0.82,0.86,1.3,0.56,0.64,0.72,0.7
d_1,4.22,3.92,1.06,3.12,3.47,2.66,1.27,2.59,0.85,1.03,0.98,1.06,0.73,0.97,0.82,0.48
c_1,3.15,3.64,4.36,1.07,4.31,3.4,1.3,0.6,1.33,1.73,1.19,1.22,0.87,0.78,0.86,0.65
b_1,4.0,3.74,3.89,2.41,1.07,4.89,1.33,1.2,1.4,1.24,3.0,1.17,1.24,0.96,1.34,0.76
a_1,5.59,6.0,6.35,4.66,2.84,1.07,2.18,2.09,1.87,2.12,2.03,1.33,1.46,1.76,,1.85
h_1,7.76,8.84,7.15,7.29,7.49,5.89,1.39,2.65,3.48,2.05,2.09,1.8,2.39,1.57,1.77,1.61
d_0,5.13,10.04,11.54,12.5,8.4,6.49,3.1,1.63,3.5,3.02,2.56,2.39,1.68,1.85,2.26,1.72
g_1,8.71,10.13,9.44,8.62,8.12,8.48,2.61,2.66,1.39,2.57,2.56,2.39,1.6,2.4,1.91,2.56
c_0,10.85,10.7,5.44,20.98,11.37,5.38,3.96,2.91,3.23,1.61,3.03,2.45,1.97,2.23,2.39,1.9
b_0,10.39,9.92,8.11,10.56,18.82,7.22,3.74,3.22,4.04,1.95,1.63,2.52,2.25,2.52,2.57,2.54
f_0,10.89,23.47,8.51,9.83,8.89,9.5,4.92,2.82,2.74,3.35,3.2,1.63,2.62,2.75,2.92,1.78
h_0,12.22,14.19,11.92,12.23,9.51,10.37,9.71,4.19,4.84,3.54,3.75,3.49,3.99,3.37,2.6,3.16
e_0,16.2,17.67,11.85,19.44,13.51,10.26,6.56,4.66,4.14,4.0,3.33,2.32,2.92,1.67,2.79,2.74
a_0,12.95,14.98,14.66,15.36,15.73,,6.54,4.39,4.42,3.91,2.35,4.62,3.71,4.18,1.69,3.82
g_0,14.37,18.21,17.99,15.05,14.45,10.44,5.78,5.21,,4.26,4.58,4.4,2.65,3.74,3.74,5.22
