,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.18,0.54,0.56,0.72,0.74,0.71,0.15,0.17,0.13,0.14,0.13,0.24,0.07,0.11,0.12,0.12
e_1,0.37,0.17,0.8,0.74,0.65,0.61,0.21,0.26,0.15,0.14,0.15,0.2,0.11,0.19,0.11,0.27
d_1,0.72,0.84,0.16,0.65,0.59,0.49,0.19,0.12,0.12,0.33,0.13,0.12,0.09,0.12,0.06,0.14
c_1,0.64,0.5,0.8,0.15,0.66,0.82,0.19,0.18,0.22,0.07,0.14,0.12,0.1,0.14,0.1,0.13
b_1,0.77,0.84,0.7,0.32,0.12,0.65,0.18,0.2,0.18,0.14,0.27,0.13,0.11,0.14,0.13,0.13
a_1,0.85,0.72,0.66,0.82,0.3,0.09,0.2,0.2,0.14,0.14,0.2,0.11,0.1,0.33,0.09,0.12
h_1,0.54,0.5,0.5,0.52,0.55,0.52,0.06,0.15,0.1,0.12,0.1,0.11,0.11,0.1,0.08,0.11
g_1,0.62,0.51,0.51,0.51,0.52,0.53,0.1,0.05,0.11,0.12,0.12,0.1,0.06,0.1,0.1,0.12
c_0,0.59,0.54,0.28,1.06,0.62,0.51,0.17,0.16,0.06,0.14,0.11,0.1,0.08,0.12,0.07,0.09
d_0,0.54,0.28,0.92,0.59,0.57,0.68,0.16,0.2,0.14,0.06,0.11,0.11,0.08,0.1,0.08,0.11
b_0,0.53,0.53,0.38,0.71,1.11,0.46,0.14,0.15,0.05,0.14,0.05,0.11,0.07,0.13,0.07,0.09
f_0,1.01,0.57,0.45,0.46,0.62,0.44,0.15,0.11,0.1,0.1,0.1,0.05,0.08,0.09,0.04,0.1
h_0,0.55,0.49,0.45,0.52,0.52,0.43,0.21,0.15,0.11,0.13,0.1,0.12,0.14,0.09,0.07,0.08
a_0,0.66,0.43,0.46,0.52,0.73,0.81,0.16,0.13,0.11,0.13,0.05,0.1,0.07,0.04,0.07,0.1
g_0,0.64,0.54,0.46,0.61,0.52,0.4,0.11,0.22,0.08,0.12,0.09,0.12,0.05,0.11,0.11,0.09
e_0,0.67,0.73,0.5,0.53,0.52,0.47,0.13,0.11,0.09,0.1,0.1,0.05,0.07,0.08,0.09,0.04
