,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.73,0.92,1.28,1.04,0.83,0.69,0.73,0.9,0.66,0.75,0.66,0.59,0.63,0.66,0.62
f_1,1.36,1.0,0.9,0.9,0.94,0.71,0.64,0.74,0.62,0.62,0.6,0.64,0.52,0.5,0.53,0.52
d_1,1.08,1.13,1.0,0.91,0.88,0.83,0.72,0.55,0.79,0.8,0.62,0.71,0.59,0.6,0.54,0.59
c_1,0.79,1.11,1.1,1.0,1.28,0.93,0.71,0.63,0.47,0.46,0.6,0.53,0.59,0.55,0.55,0.52
b_1,0.96,1.06,1.13,0.79,1.0,1.24,0.74,0.73,0.7,0.74,0.57,0.58,0.74,0.63,0.61,0.61
a_1,1.19,1.37,1.2,1.09,0.81,1.0,0.88,0.93,0.77,0.84,0.81,0.76,0.71,0.6,0.68,0.68
h_1,1.41,1.65,1.41,1.39,1.4,1.09,1.0,1.08,0.89,0.91,0.87,0.92,0.87,0.66,0.9,0.75
g_1,1.34,1.33,1.79,1.61,1.36,1.12,0.91,1.0,0.85,0.92,1.24,1.0,0.78,0.91,0.81,0.75
d_0,1.1,1.61,1.2,2.08,1.37,1.26,1.11,1.15,1.0,0.83,1.06,0.84,0.9,0.9,0.89,0.88
c_0,1.57,1.59,1.24,2.01,1.32,1.18,1.11,1.15,1.16,1.0,1.09,1.39,1.0,0.95,0.87,1.0
f_0,1.29,1.79,1.58,1.64,1.72,1.31,1.08,0.82,0.96,0.96,1.0,0.93,0.9,1.37,0.72,0.93
b_0,1.59,1.58,1.4,1.91,1.7,1.33,1.09,1.04,1.17,0.69,1.1,1.0,1.03,0.97,1.0,1.24
h_0,1.62,1.9,1.78,1.66,1.41,1.39,1.14,1.28,1.03,0.96,1.15,0.95,1.0,0.9,1.14,0.88
e_0,1.52,2.16,1.74,1.8,1.45,1.65,1.4,1.09,1.25,1.08,0.7,0.99,1.16,1.0,0.94,0.81
g_0,1.64,1.81,1.95,1.81,1.58,1.38,1.1,1.28,1.06,1.08,1.37,1.04,0.85,1.09,1.0,0.95
a_0,1.63,1.89,1.77,1.84,1.77,1.37,1.34,1.36,1.04,1.01,1.07,0.81,1.12,1.13,1.05,1.0
