,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.11,2.73,2.73,2.99,3.26,2.78,0.69,0.99,0.58,0.72,0.64,0.9,0.33,0.65,0.59,0.49
d_1,3.26,1.09,3.58,3.37,2.88,2.82,0.85,0.56,0.58,1.01,0.54,0.57,0.37,0.58,0.61,0.26
e_1,1.85,3.57,1.1,3.42,3.67,3.67,0.93,1.16,0.73,0.77,0.76,0.9,0.51,0.68,0.94,0.55
c_1,3.3,4.05,2.67,1.11,3.7,3.18,0.86,1.04,0.91,0.42,0.64,0.61,0.58,0.59,0.71,0.52
b_1,4.09,4.18,4.09,2.06,1.11,3.56,1.46,1.06,1.24,0.83,1.46,0.81,0.61,0.9,0.84,0.63
a_1,6.77,5.81,6.2,5.99,2.71,1.13,1.6,1.7,1.41,1.29,1.63,1.22,0.94,1.96,1.06,0.82
h_1,14.11,12.33,11.87,12.11,13.87,9.66,1.63,3.78,2.82,2.77,2.68,2.69,3.05,3.09,2.41,1.94
g_1,15.4,13.01,13.61,15.44,15.18,12.51,3.14,1.64,2.78,2.94,2.93,2.91,1.41,2.81,2.52,2.7
c_0,16.17,8.51,14.81,28.54,17.7,13.75,4.48,4.0,1.89,4.13,2.71,2.82,1.99,3.06,2.63,1.95
d_0,12.52,24.08,8.26,15.37,14.79,16.0,4.62,4.89,3.3,2.01,3.45,3.02,2.21,3.0,2.79,2.6
b_0,16.87,13.01,15.57,23.33,25.31,15.02,4.48,4.36,1.97,3.21,1.9,2.88,2.44,3.72,2.83,2.05
f_0,22.0,16.39,16.33,18.47,16.21,14.68,5.38,3.21,3.42,3.82,3.49,2.0,2.57,3.37,3.49,1.44
h_0,21.73,21.45,19.8,21.45,21.53,18.95,7.63,6.58,3.94,4.47,4.28,3.9,3.81,4.31,4.04,2.86
a_0,22.14,18.25,21.88,22.51,28.56,33.66,6.03,6.22,3.66,4.47,2.57,4.01,3.45,2.14,3.58,3.49
e_0,31.35,19.56,30.71,26.41,22.19,20.12,6.86,5.39,4.86,5.01,4.54,2.23,3.54,4.07,2.19,2.81
g_0,29.52,31.05,26.78,28.28,24.45,22.96,5.75,8.88,5.46,6.18,5.63,5.4,3.05,6.59,6.0,4.68
