,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.93,0.88,0.77,0.81,0.83,0.37,0.4,0.53,0.4,0.37,0.6,0.26,0.39,0.44,0.38
e_1,0.57,0.41,0.91,0.93,0.94,1.02,0.52,0.55,0.55,0.45,0.39,0.48,0.33,0.41,0.93,0.38
c_1,0.96,0.77,0.39,0.99,1.05,0.82,0.45,0.24,0.42,0.42,0.35,0.34,0.35,0.35,0.33,0.3
d_1,1.03,0.93,0.87,0.38,0.79,0.84,0.44,0.57,0.35,0.41,0.43,0.36,0.35,0.41,0.28,0.25
b_1,0.94,0.97,0.55,0.99,0.36,1.0,0.58,0.43,0.42,0.42,0.64,0.38,0.38,0.37,0.36,0.37
a_1,1.03,0.82,0.98,0.88,0.55,0.31,0.59,0.45,0.56,0.49,0.51,0.55,0.34,0.82,0.43,0.32
h_1,0.83,0.72,0.86,0.84,0.68,0.69,0.25,0.37,0.49,0.32,0.37,0.32,0.34,0.34,0.39,0.31
d_0,0.83,0.44,1.05,0.94,0.91,0.75,0.43,0.26,0.55,0.34,0.37,0.34,0.36,0.35,0.39,0.32
g_1,0.85,0.75,0.89,0.77,0.87,0.72,0.33,0.33,0.22,0.31,0.35,0.38,0.25,0.39,0.31,0.34
c_0,0.76,0.72,1.37,0.51,0.86,0.74,0.4,0.41,0.51,0.24,0.48,0.38,0.37,0.37,0.34,0.33
b_0,0.82,0.78,0.89,0.65,1.35,0.76,0.38,0.34,0.4,0.2,0.24,0.36,0.29,0.53,0.39,0.32
f_0,1.29,0.65,0.86,0.88,0.74,0.58,0.48,0.35,0.26,0.39,0.33,0.22,0.34,0.41,0.49,0.19
h_0,1.0,0.8,0.75,0.67,0.74,0.71,0.53,0.33,0.44,0.3,0.34,0.28,0.42,0.32,0.29,0.34
a_0,0.82,0.81,0.8,0.74,0.98,0.95,0.45,0.35,0.35,0.31,0.18,0.26,0.3,0.21,0.35,0.3
e_0,0.89,0.77,1.08,0.89,0.98,0.61,0.39,0.31,0.43,0.34,0.32,0.16,0.28,0.33,0.2,0.25
g_0,0.71,0.8,0.79,0.8,0.7,0.79,0.35,0.36,0.56,0.4,0.36,0.45,0.23,0.34,0.39,0.38
