,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.8,0.88,1.18,1.15,0.97,0.97,1.44,1.08,0.93,1.14,1.28,0.9,1.01,1.17,1.1
f_1,1.25,1.0,1.01,0.96,0.9,0.82,0.78,0.91,1.08,0.94,0.86,0.91,1.06,0.85,0.85,0.99
d_1,1.14,0.99,1.0,0.92,0.87,1.04,1.09,0.99,0.85,1.3,1.14,0.9,1.04,1.04,1.06,0.85
c_1,0.85,1.04,1.1,1.0,1.33,0.95,1.09,0.71,0.89,0.77,0.86,0.91,0.91,1.08,0.97,1.1
b_1,0.87,1.1,1.16,0.76,1.0,1.38,1.02,1.04,1.12,1.09,0.82,1.07,0.92,1.09,1.09,0.83
a_1,1.04,1.21,0.95,1.05,0.73,1.0,1.14,0.91,1.17,1.05,1.2,1.05,0.94,1.04,0.88,1.06
h_1,1.04,1.25,0.98,0.94,0.98,0.85,1.0,0.96,1.01,0.86,0.88,0.88,0.94,1.01,0.9,1.15
d_0,0.68,1.02,1.0,1.44,1.03,1.12,1.03,1.0,1.1,0.82,1.02,0.93,1.05,1.1,0.96,1.06
g_1,0.89,0.86,1.2,1.13,0.94,0.85,1.01,0.9,1.0,1.05,0.88,1.24,1.1,0.87,1.02,1.13
c_0,1.02,1.06,0.79,1.24,0.87,0.89,1.19,1.17,1.01,1.0,1.51,1.03,1.13,1.01,0.96,1.25
b_0,0.87,1.17,0.89,1.17,1.05,0.85,1.13,0.91,1.07,0.67,1.0,1.0,1.56,1.1,0.94,1.01
f_0,0.75,1.17,1.09,1.13,0.97,0.97,1.11,1.02,0.81,1.0,1.03,1.0,1.13,1.03,1.58,0.88
a_0,1.11,0.93,0.9,1.12,1.19,1.04,1.09,1.02,0.95,0.87,0.64,0.95,1.0,1.04,1.01,0.93
h_0,1.0,1.18,0.98,0.96,0.96,0.9,0.95,0.93,1.1,0.94,0.91,0.94,0.97,1.0,0.86,1.23
e_0,0.87,1.22,0.93,1.08,0.92,1.17,1.06,1.06,1.01,1.1,1.18,0.7,1.0,1.13,1.0,1.05
g_0,0.92,1.02,1.16,0.89,1.14,0.93,0.88,0.93,0.89,0.87,1.0,1.1,1.08,0.84,0.99,1.0
