,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,0.44,0.59,0.73,0.64,0.55,0.32,0.32,0.27,0.36,0.27,0.36,0.24,0.25,0.31,0.23
f_1,0.64,0.4,0.56,0.65,0.57,0.47,0.26,0.27,0.25,0.36,0.28,0.29,0.19,0.25,0.23,0.26
d_1,0.63,0.64,0.38,0.57,0.58,0.59,0.29,0.31,0.29,0.22,0.26,0.25,0.22,0.26,0.25,0.16
c_1,0.49,0.57,0.8,0.37,0.7,0.6,0.33,0.19,0.33,0.33,0.24,0.25,0.21,0.23,0.28,0.23
b_1,0.6,0.69,0.62,0.39,0.35,0.7,0.34,0.27,0.33,0.39,0.35,0.29,0.23,0.27,0.26,0.23
a_1,0.62,0.71,0.6,0.58,0.36,0.31,0.39,0.3,0.27,0.3,0.32,0.27,0.26,0.37,0.28,0.26
h_1,0.59,0.57,0.56,0.6,0.54,0.45,0.23,0.27,0.25,0.32,0.26,0.25,0.23,0.25,0.22,0.22
d_0,0.42,0.53,0.71,0.65,0.62,0.52,0.33,0.23,0.26,0.35,0.26,0.28,0.24,0.27,0.29,0.28
c_0,0.66,0.63,0.4,0.74,0.54,0.56,0.3,0.32,0.22,0.29,0.28,0.25,0.21,0.29,0.26,0.21
g_1,0.55,0.58,0.61,0.57,0.5,0.62,0.26,0.26,0.25,0.21,0.27,0.27,0.17,0.22,0.26,0.23
b_0,0.54,0.58,0.49,0.68,0.63,0.55,0.31,0.27,0.18,0.31,0.22,0.25,0.22,0.31,0.23,0.21
f_0,0.54,0.66,0.56,0.63,0.51,0.59,0.29,0.26,0.26,0.23,0.26,0.2,0.21,0.23,0.27,0.15
h_0,0.52,0.63,0.55,0.57,0.58,0.52,0.35,0.24,0.27,0.31,0.25,0.24,0.24,0.25,0.25,0.22
a_0,0.54,0.56,0.56,0.64,0.63,0.51,0.28,0.26,0.21,0.35,0.17,0.26,0.24,0.18,0.23,0.19
e_0,0.67,0.75,0.57,0.53,0.47,0.5,0.36,0.26,0.26,0.24,0.27,0.17,0.21,0.25,0.18,0.18
g_0,0.58,0.54,0.61,0.56,0.57,0.48,0.26,0.25,0.25,0.32,0.26,0.29,0.18,0.25,0.27,0.22
