,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,2.42,0.89,0.74,0.71,0.8,0.7,1.45,1.29,2.77,0.81,1.94,1.76,2.18,2.12,1.47,1.37
e_1,0.57,2.42,0.64,0.91,0.78,0.87,1.61,1.56,1.76,2.75,1.94,1.82,2.19,2.12,1.69,0.91
f_1,0.79,1.27,2.47,0.8,0.57,0.72,1.56,1.16,1.44,1.68,1.59,0.93,1.91,1.67,1.52,1.59
c_1,0.69,0.71,0.82,2.56,1.18,0.72,1.75,1.57,0.85,1.47,0.95,1.37,2.31,2.38,1.8,2.17
b_1,0.8,0.78,0.95,0.65,2.73,1.24,1.24,1.34,1.5,1.75,0.96,1.69,2.09,2.2,1.18,1.67
a_1,0.89,0.79,0.77,0.84,0.66,3.29,1.3,1.29,1.68,1.61,2.0,2.03,2.28,1.74,,1.54
h_1,1.1,0.71,1.24,0.85,1.29,0.86,3.92,2.87,2.46,2.05,2.07,2.5,1.54,3.46,2.26,2.38
g_1,1.56,0.72,0.99,0.88,1.14,0.98,1.58,4.33,1.66,1.74,2.3,2.81,1.79,1.26,2.37,2.31
c_0,1.0,0.99,1.24,0.64,0.88,0.94,2.12,2.42,3.7,2.4,4.04,2.29,3.24,3.18,3.19,2.47
d_0,0.71,0.73,1.29,1.67,0.84,0.89,2.31,2.2,1.97,3.64,2.02,2.61,2.63,2.78,2.55,2.42
b_0,1.1,0.82,1.14,1.55,0.58,0.75,2.06,2.04,1.98,2.74,3.99,2.13,2.83,2.72,4.48,2.19
f_0,1.23,0.98,0.73,1.12,1.09,0.9,1.88,1.75,2.37,2.14,2.65,4.2,2.9,2.59,2.69,3.59
h_0,1.07,0.91,1.31,1.04,0.96,0.82,1.29,3.14,2.01,2.1,2.21,2.14,1.73,3.48,1.72,2.67
g_0,1.31,0.91,1.08,0.81,0.87,1.16,1.78,1.65,2.15,1.99,2.13,3.38,2.23,1.82,2.18,2.61
a_0,1.19,0.93,1.09,1.14,1.22,,2.01,2.02,1.84,2.12,1.8,2.37,3.58,2.57,4.99,2.44
e_0,1.35,0.49,1.03,0.94,1.22,1.0,2.09,2.08,2.38,2.32,2.51,2.14,2.79,2.47,2.62,5.08
