,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.08,0.79,0.94,0.61,0.71,0.61,0.83,1.64,0.86,0.85,1.07,1.09,1.12,1.0,0.74,0.99
f_1,1.27,2.14,0.76,0.61,0.65,0.68,0.86,0.98,0.9,0.78,0.95,0.54,0.96,0.97,0.6,0.91
c_1,0.7,0.7,2.19,0.77,1.32,0.69,0.95,0.83,0.54,0.94,0.71,0.9,0.83,0.87,1.03,0.83
d_1,0.67,0.92,0.6,2.37,0.71,0.64,1.04,0.58,1.68,1.1,1.05,1.0,1.05,0.96,0.88,1.0
b_1,0.72,0.72,0.74,0.81,2.41,1.41,1.03,0.94,0.85,0.77,0.59,0.94,0.73,0.92,0.9,1.03
a_1,0.68,0.79,0.78,0.87,0.72,3.54,0.99,0.78,1.05,0.98,1.01,1.05,0.58,1.24,1.2,1.1
h_1,0.76,1.01,0.72,1.07,0.71,0.79,2.01,0.81,1.04,1.42,1.03,0.96,0.99,0.77,1.16,1.46
d_0,0.81,0.83,1.49,0.52,0.84,0.69,0.98,1.58,0.76,1.01,1.12,1.05,1.14,1.16,1.2,0.93
c_0,0.79,0.85,0.7,0.97,0.67,0.78,1.12,1.04,1.7,1.21,2.07,1.29,1.41,1.14,1.31,1.3
g_1,0.7,0.81,0.8,1.36,0.7,0.67,1.02,0.82,1.12,2.48,1.13,1.63,1.01,1.18,1.27,0.73
b_0,0.79,0.85,0.85,1.05,0.57,0.86,1.13,0.99,1.04,1.28,1.77,1.13,2.12,1.07,1.23,1.12
f_0,0.73,0.62,0.87,0.97,0.82,0.75,1.13,1.15,1.19,1.03,1.4,2.14,1.21,1.13,2.66,1.06
a_0,0.89,0.96,1.0,0.82,0.74,0.44,1.1,1.19,1.04,1.23,1.16,1.12,2.29,1.15,1.19,1.14
h_0,0.77,1.2,0.88,0.91,0.67,0.86,0.75,0.97,0.92,1.43,1.17,1.17,1.0,0.86,1.18,1.36
e_0,0.48,0.79,1.14,0.99,0.96,0.86,1.06,1.06,0.82,1.08,1.13,1.16,1.04,1.36,2.73,1.15
g_0,0.78,0.69,0.8,1.37,0.79,0.87,1.11,0.93,1.13,0.76,1.18,1.54,1.06,1.08,1.18,0.8
