,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.73,0.94,1.2,0.93,0.72,0.52,0.62,0.46,0.38,0.47,0.43,0.37,0.34,0.3,0.37
f_1,1.37,1.0,0.85,0.95,0.83,0.62,0.42,0.5,0.46,0.44,0.41,0.37,0.31,0.25,0.36,0.33
d_1,1.06,1.17,1.0,0.87,0.91,0.71,0.49,0.44,0.38,0.59,0.4,0.45,0.35,0.36,0.32,0.27
c_1,0.84,1.05,1.13,1.0,1.3,0.73,0.53,0.34,0.44,0.38,0.41,0.31,0.37,0.31,0.29,0.35
b_1,1.05,1.21,1.09,0.78,1.0,1.32,0.58,0.48,0.54,0.57,0.44,0.45,0.43,0.41,0.33,0.37
a_1,1.39,1.6,1.34,1.39,0.79,1.0,0.69,0.66,0.6,0.53,0.52,0.64,0.5,0.51,0.5,0.43
h_1,1.95,2.38,2.04,1.9,1.72,1.41,1.0,0.81,1.21,0.82,0.75,0.73,0.67,0.63,0.61,0.77
d_0,1.62,1.99,2.17,2.91,2.19,1.54,1.21,1.0,1.14,0.74,0.96,0.86,0.77,0.78,0.82,0.79
g_1,2.2,2.18,2.73,2.27,1.86,1.69,0.86,0.85,1.0,0.93,1.07,0.77,0.65,0.64,0.63,0.62
c_0,2.47,2.27,1.71,2.73,1.71,1.89,1.22,1.32,1.08,1.0,0.97,1.32,0.84,0.74,0.86,0.8
f_0,2.07,2.47,2.53,2.54,2.32,1.82,1.32,1.05,0.97,1.03,1.0,0.98,0.86,1.21,0.86,0.67
b_0,2.36,2.65,2.12,3.19,2.23,1.45,1.35,1.14,1.29,0.74,0.97,1.0,0.96,0.86,1.18,0.91
h_0,2.65,3.17,2.79,2.69,2.4,2.03,1.48,1.29,1.63,1.15,1.17,1.11,1.0,0.85,0.9,1.03
e_0,2.9,3.89,2.93,3.13,2.37,2.06,1.63,1.4,1.59,1.39,0.84,1.18,1.21,1.0,1.25,1.01
a_0,3.14,2.87,3.02,3.47,3.02,2.08,1.62,1.26,1.63,1.19,1.16,0.85,1.13,0.8,1.0,0.9
g_0,2.79,3.02,3.57,2.74,2.76,2.26,1.3,1.28,1.59,1.34,1.52,1.13,0.96,0.99,1.13,1.0
