,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.05,1.51,1.83,1.68,1.69,1.2,0.54,0.55,0.66,0.48,0.49,0.52,0.29,0.44,0.33,0.37
d_1,2.04,1.05,1.87,1.61,1.52,1.44,0.69,0.65,0.47,0.67,0.52,0.49,0.41,0.46,0.47,0.29
e_1,1.22,1.81,1.05,2.09,1.73,1.53,0.68,0.71,0.7,0.5,0.56,0.69,0.43,0.47,0.67,0.46
c_1,1.94,2.4,1.48,1.05,2.23,1.85,0.63,0.35,0.62,0.61,0.48,0.49,0.42,0.45,0.45,0.39
b_1,2.16,2.12,2.18,1.31,1.05,1.85,0.94,0.66,0.77,0.76,0.76,0.57,0.51,0.51,0.55,0.49
a_1,3.54,2.7,2.76,2.37,1.55,1.06,1.06,0.85,1.1,0.76,0.83,0.7,0.71,0.81,0.67,0.5
h_1,5.11,4.59,4.83,5.49,4.33,3.67,1.27,1.49,1.77,1.3,1.35,1.26,1.28,1.07,1.1,1.16
d_0,5.52,7.2,3.58,6.94,6.14,4.99,2.31,1.44,2.08,1.39,1.65,1.63,1.3,1.35,1.44,1.18
g_1,5.83,5.74,5.44,6.07,5.33,4.57,1.72,1.79,1.29,1.78,1.68,1.65,1.04,1.59,1.32,1.56
c_0,6.59,3.8,6.21,8.41,5.49,4.96,2.56,2.65,2.15,1.39,2.26,1.62,1.45,1.57,1.51,1.28
b_0,6.38,5.89,5.67,7.61,8.89,4.94,2.41,1.75,2.13,1.16,1.41,1.67,1.51,1.9,1.76,1.36
f_0,9.16,6.64,6.17,7.41,6.58,5.92,2.48,1.98,2.02,1.98,2.0,1.45,1.72,1.67,2.16,1.03
h_0,8.53,7.48,7.71,7.74,7.18,6.04,3.42,2.38,3.18,2.16,2.06,2.07,1.99,1.69,1.64,1.96
a_0,9.41,8.09,7.99,8.45,11.06,9.02,3.65,2.77,2.68,2.39,1.51,2.28,2.13,1.53,1.87,1.73
e_0,14.09,8.17,8.56,9.91,9.48,7.32,3.45,2.67,2.94,2.45,2.28,1.46,2.1,2.63,1.51,1.55
g_0,10.77,10.04,8.59,8.81,8.44,8.8,2.85,2.81,3.33,2.56,2.6,2.72,1.66,2.17,2.47,2.38
