,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.44,1.02,1.04,1.16,1.07,1.12,0.27,0.44,0.21,0.23,0.22,0.29,0.23,0.13,0.19,0.18
e_1,0.69,0.43,1.28,1.38,1.23,1.26,0.34,0.37,0.25,0.28,0.26,0.3,0.24,0.18,0.4,0.2
d_1,1.38,1.27,0.42,1.2,1.1,0.99,0.3,0.22,0.25,0.37,0.25,0.22,0.2,0.15,0.23,0.11
c_1,1.28,1.02,1.38,0.4,1.32,1.06,0.34,0.36,0.39,0.15,0.23,0.24,0.24,0.18,0.24,0.18
b_1,1.42,1.48,1.42,0.74,0.38,1.19,0.42,0.42,0.36,0.3,0.42,0.28,0.27,0.19,0.27,0.18
a_1,1.87,1.72,1.61,1.52,0.83,0.32,0.47,0.45,0.34,0.38,0.54,0.39,0.61,0.28,0.43,0.26
h_1,2.11,1.99,2.16,1.94,1.95,1.89,0.32,0.59,0.43,0.44,0.42,0.44,0.4,0.39,0.36,0.32
g_1,2.62,2.24,2.38,2.3,2.31,2.33,0.51,0.28,0.55,0.53,0.53,0.46,0.41,0.26,0.45,0.48
c_0,2.77,2.43,1.41,4.17,2.53,2.31,0.83,0.61,0.33,0.77,0.58,0.54,0.5,0.35,0.49,0.38
d_0,2.27,1.37,4.25,2.74,2.82,2.61,0.77,0.77,0.52,0.33,0.49,0.53,0.47,0.37,0.56,0.42
b_0,2.46,2.47,2.11,3.25,3.74,2.83,0.71,0.71,0.29,0.6,0.3,0.5,0.47,0.42,0.55,0.36
f_0,4.28,2.67,2.65,2.24,2.62,2.53,0.72,0.48,0.55,0.57,0.57,0.3,0.56,0.37,0.52,0.24
a_0,3.1,2.94,2.88,3.12,3.73,4.12,0.77,0.84,0.53,0.66,0.34,0.65,0.31,0.45,0.62,0.38
h_0,3.09,2.99,3.07,2.94,2.99,2.7,0.96,0.77,0.63,0.6,0.57,0.58,0.48,0.71,0.48,0.42
e_0,4.3,4.5,2.87,3.24,3.15,2.49,0.93,0.67,0.62,0.67,0.57,0.34,0.61,0.45,0.27,0.36
g_0,3.44,3.54,3.47,3.29,3.39,2.68,0.72,1.08,0.68,0.77,0.67,0.65,0.6,0.36,0.68,0.54
