,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.14,10.05,11.0,9.79,11.62,11.0,2.36,3.41,2.35,1.81,9.09,2.49,1.36,2.06,2.27,1.64
e_1,6.37,1.14,12.6,12.27,11.91,9.89,3.22,3.91,2.26,2.42,2.63,2.28,1.87,10.46,2.34,1.69
c_1,13.6,10.14,1.14,14.1,9.97,11.34,3.07,4.1,1.38,7.48,2.17,2.31,1.79,2.56,2.24,2.04
d_1,13.14,13.9,13.4,1.13,14.35,12.48,3.4,2.14,11.29,2.39,1.95,1.92,1.6,2.51,1.92,1.09
b_1,13.91,16.79,7.28,13.69,1.14,16.6,4.3,4.39,3.25,4.74,2.88,14.24,2.01,2.69,3.51,1.97
a_1,22.54,19.45,31.85,36.26,10.21,1.15,5.91,6.69,3.94,5.45,4.8,6.27,4.05,5.53,16.48,3.43
h_1,22.83,28.93,24.64,26.19,26.33,32.05,1.93,9.39,5.37,6.09,7.5,6.27,9.57,6.24,5.57,4.94
g_1,32.98,38.68,32.78,33.33,38.78,30.48,7.15,1.88,6.8,6.98,8.57,6.51,3.57,5.38,6.89,17.3
d_0,31.52,18.44,33.43,84.62,42.84,37.94,10.15,9.14,2.9,6.4,6.38,6.67,4.69,6.79,8.61,6.41
c_0,37.49,35.24,99.29,17.46,44.84,56.33,12.09,11.46,8.22,2.7,7.41,7.87,5.49,5.53,8.06,5.97
f_0,114.9,31.22,35.17,34.74,41.59,30.98,9.79,5.93,7.09,6.03,2.55,9.09,5.62,5.38,9.24,3.53
b_0,46.26,37.07,76.73,34.74,130.45,31.51,13.7,10.4,7.93,3.65,6.9,2.65,5.62,6.45,8.06,5.67
h_0,52.38,50.84,43.28,40.24,57.4,51.64,41.1,18.27,10.09,8.62,9.23,7.98,12.16,9.67,8.24,7.36
e_0,84.81,148.29,46.25,58.93,52.18,39.55,14.42,19.31,11.1,10.02,5.36,15.5,7.03,2.76,10.24,6.07
a_0,54.8,57.4,67.52,68.75,61.06,143.0,20.05,13.0,8.43,10.71,14.29,4.79,6.25,8.8,2.79,10.18
g_0,84.81,58.34,55.34,49.25,71.75,84.5,14.95,42.25,13.88,10.71,13.64,12.85,6.34,10.18,12.23,21.62
