,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.22,0.86,0.43,0.54,0.42,0.28,0.9,1.03,0.78,0.8,0.93,0.29,1.08,0.58,0.53,0.86
e_1,0.61,2.27,0.42,0.56,0.35,0.38,0.87,1.91,0.71,0.96,0.84,0.98,1.16,0.83,0.51,0.99
d_1,0.61,0.5,2.37,0.3,0.42,0.38,0.94,0.44,0.83,2.0,1.15,0.97,1.32,1.11,1.07,1.02
c_1,0.52,0.46,0.45,2.44,0.84,0.3,0.88,1.15,0.65,0.29,0.81,0.85,1.33,0.7,0.71,0.85
b_1,0.43,0.53,0.56,0.49,2.61,0.8,0.87,0.9,0.7,0.8,0.33,0.78,0.81,0.46,0.48,0.97
a_1,0.56,0.45,0.57,0.49,0.4,3.06,0.84,0.87,0.77,1.03,0.99,1.21,1.34,0.49,0.94,1.31
h_1,0.9,0.45,0.67,0.56,0.43,0.36,3.01,1.2,1.46,1.24,1.12,0.88,0.8,1.02,1.15,1.65
d_0,0.71,0.62,0.28,1.16,0.51,0.39,1.1,2.53,0.73,0.9,1.02,1.07,1.47,0.76,1.1,1.39
g_1,0.56,0.49,0.96,0.56,0.5,0.42,0.87,1.08,3.2,1.04,1.44,2.06,1.36,1.1,1.03,0.92
c_0,0.7,0.5,0.7,0.36,0.47,0.45,1.28,1.11,1.44,2.67,2.37,1.2,1.64,1.51,1.04,1.49
b_0,0.65,0.7,0.73,0.61,0.23,0.31,1.26,1.32,1.23,1.21,2.68,1.33,1.34,2.43,1.24,1.19
f_0,0.35,0.5,0.83,0.57,0.7,0.42,0.9,1.16,1.16,1.3,1.27,2.8,1.83,1.02,2.26,1.52
h_0,0.86,0.57,0.57,0.59,0.52,0.6,0.64,1.31,1.24,1.25,1.29,1.2,0.98,1.05,1.16,1.67
a_0,0.68,0.53,0.73,0.68,0.52,0.15,1.26,1.09,0.94,1.36,1.22,1.21,1.43,2.98,0.99,1.27
e_0,0.64,0.3,0.7,0.62,0.65,0.41,1.33,1.49,1.23,1.36,1.39,1.33,1.65,0.87,3.16,2.24
g_0,0.47,0.46,1.09,0.55,0.61,0.42,1.2,1.17,0.88,1.23,1.18,2.08,1.44,1.19,1.03,1.01
