,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,9454.88,6041.61,6117.16,11694.89,17961.28,66664.78,7668780.25,28500813.3,16452027.66,16454541.67,43768001.09,57194081.21,169559584.32,202102601.25,318634282.26,296470515.99
f_1,3914.42,12650.74,11035.77,12489.83,14885.23,62122.25,6627627.55,14200757.17,14638545.56,24779373.94,32194154.89,38331454.44,165217104.56,170265628.7,275179122.43,204805800.17
e_1,4004.96,6137.3,15073.95,16371.12,18456.7,69517.8,6743546.0,15127938.76,13815632.92,37209519.99,35975216.6,55658321.04,174333076.63,176830990.94,302993600.5,233710276.24
c_1,4614.94,5228.61,6206.36,34220.14,32129.54,65279.95,5333379.85,11780557.75,13373669.05,21024729.45,22993237.41,48397694.53,159253440.57,150689777.47,275421134.93,284446156.72
b_1,4665.49,5122.87,6022.51,11531.61,50742.38,138933.96,6542680.89,16120899.19,14034611.77,20802884.98,30183275.48,61708719.69,158448199.12,150872789.31,334046813.61,261289100.75
a_1,4746.54,6408.92,6444.66,14546.48,17481.38,258050.0,7034844.89,16028600.99,15746725.16,22368016.12,36408270.84,52353204.99,161206946.97,131418383.89,347010294.07,246232293.49
h_1,5092.7,7731.35,7090.27,15437.92,14405.98,65758.27,11836697.06,17459568.13,22099390.35,22001444.87,33510272.08,59859454.81,143383420.46,190370247.59,380684267.3,292634731.78
c_0,5075.93,6768.27,7427.75,11217.06,15634.67,77341.38,8097029.65,25541007.67,18512772.85,23695467.81,68516200.37,54148942.85,182424412.77,282493839.61,373310237.91,344605970.06
g_1,6664.15,5734.17,6156.79,14643.13,17561.18,64212.46,6751264.19,17994287.41,31286998.84,17644871.8,38580270.02,81448777.81,164727582.32,196445866.64,280693916.32,391194080.1
d_0,3715.35,6212.0,7092.52,22922.56,22698.59,70954.63,6548338.09,14336656.45,14354713.2,32869610.13,35841713.57,52555625.12,158132049.9,167840050.28,294406737.33,273368097.26
b_0,4942.31,6665.85,7322.3,16454.93,14608.55,63424.4,7848203.27,17844013.62,17066786.1,21845060.63,59974218.94,61230007.13,181259948.91,365131781.17,359094850.85,370615249.11
f_0,5475.51,5307.96,6059.42,15349.69,21550.28,78646.8,7972343.98,19170942.76,18789479.0,21777451.92,36563846.22,96960164.99,173885749.33,216216279.64,370050628.55,574607522.87
h_0,5184.36,8004.35,7430.02,13496.13,19797.37,64220.87,6506616.0,16647922.68,17625136.86,22772888.1,33908315.4,56790341.01,143826819.86,201869174.54,444757438.6,279684787.7
a_0,5066.77,7243.74,7258.64,14569.66,16924.33,54205.53,8434727.87,19658851.42,17550514.3,23549117.36,34652226.76,57963023.27,201387449.44,373613008.5,383788038.35,326447634.76
g_0,7109.26,5731.47,6194.98,14680.9,17415.68,62522.72,7311131.89,19802191.76,15925776.07,20355807.73,36282326.0,85422545.12,170195239.77,196095494.29,322884038.23,347524560.82
e_0,5174.32,7278.93,5507.82,15383.49,18432.15,86506.31,7710082.94,18416233.09,17789622.13,23857116.72,39195756.94,53931400.04,192607615.13,179617060.93,330746315.53,514892907.99
