,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.37,0.64,0.76,0.68,0.91,0.74,1.53,1.65,3.04,1.61,1.81,1.44,1.63,2.46,1.39,2.18
f_1,1.14,2.42,0.82,0.8,0.77,0.7,1.28,1.36,1.42,1.5,1.01,1.79,1.47,1.9,1.35,1.94
c_1,0.83,0.76,2.52,0.76,1.09,0.72,1.55,1.4,1.3,0.72,1.82,1.52,1.95,2.32,1.51,1.93
d_1,0.84,0.74,0.66,2.58,0.71,0.8,1.6,1.51,0.76,2.53,2.02,1.99,2.08,1.92,1.69,1.91
b_1,0.65,0.76,0.7,0.83,2.63,1.18,1.58,1.4,1.84,1.82,1.8,1.1,1.27,2.03,1.62,2.62
a_1,0.69,0.93,0.87,0.7,0.68,3.38,1.73,1.35,1.65,1.98,1.49,1.66,0.53,2.2,2.31,1.52
h_1,1.0,1.38,1.01,0.95,0.95,0.89,3.79,2.43,2.17,2.27,1.77,2.28,2.12,1.36,2.23,2.91
g_1,0.85,0.91,1.08,1.54,0.85,0.94,1.64,4.2,1.92,2.37,3.07,2.3,1.99,2.44,2.41,1.88
d_0,0.78,1.3,1.75,0.54,0.97,0.97,1.78,1.8,3.6,1.97,1.87,1.95,2.11,2.81,1.91,3.53
c_0,1.02,1.28,0.78,0.99,0.93,0.87,1.87,2.18,1.95,4.05,2.29,3.99,2.47,2.95,2.29,3.22
f_0,1.07,0.46,1.16,0.91,0.93,1.14,2.33,1.8,2.49,2.38,4.21,2.82,3.03,3.05,4.25,2.86
b_0,1.14,1.09,1.26,1.19,0.43,0.78,2.02,2.27,1.87,1.92,2.28,4.27,3.6,2.57,2.34,2.71
a_0,1.07,1.14,0.9,1.07,1.08,,1.94,2.25,1.98,2.46,2.45,1.96,4.65,2.82,2.91,2.81
h_0,0.91,1.48,0.88,1.21,0.92,0.8,1.09,2.21,2.07,2.34,1.95,2.1,2.65,1.67,2.04,3.22
e_0,0.41,1.38,1.03,1.19,1.08,1.04,2.17,1.95,1.99,2.72,1.95,2.45,1.7,3.11,5.01,2.43
g_0,0.97,1.16,1.15,1.4,0.72,1.06,1.98,1.02,1.76,1.77,2.92,2.12,2.17,2.35,2.82,1.77
