,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.89,0.22,0.2,0.16,0.13,0.14,0.14,0.11,0.28,0.16,0.15,0.11,0.11,0.14,0.05,0.15
f_1,0.36,0.88,0.2,0.15,0.14,0.09,0.12,0.12,0.17,0.17,0.15,0.04,0.09,0.17,0.09,0.11
c_1,0.16,0.18,0.89,0.16,0.28,0.1,0.16,0.13,0.17,0.13,0.05,0.17,0.12,0.16,0.1,0.14
d_1,0.16,0.17,0.15,0.89,0.16,0.11,0.2,0.17,0.09,0.22,0.31,0.16,0.11,0.13,0.12,0.11
b_1,0.19,0.19,0.17,0.16,0.88,0.24,0.17,0.1,0.14,0.05,0.16,0.12,0.09,0.18,0.09,0.14
a_1,0.19,0.2,0.18,0.19,0.14,0.88,0.22,0.14,0.16,0.15,0.14,0.12,0.06,0.18,0.1,0.13
h_1,0.21,0.31,0.17,0.22,0.21,0.1,0.58,0.22,0.2,0.19,0.19,0.14,0.12,0.11,0.15,0.23
g_1,0.22,0.2,0.2,0.35,0.16,0.1,0.19,0.56,0.16,0.19,0.17,0.27,0.09,0.17,0.14,0.09
d_0,0.22,0.23,0.43,0.09,0.21,0.12,0.18,0.14,0.42,0.22,0.14,0.17,0.14,0.21,0.13,0.14
b_0,0.26,0.22,0.23,0.26,0.07,0.12,0.21,0.17,0.18,0.45,0.24,0.21,0.31,0.23,0.15,0.17
c_0,0.27,0.24,0.13,0.25,0.12,0.16,0.2,0.17,0.22,0.42,0.42,0.18,0.17,0.21,0.16,0.17
f_0,0.2,0.1,0.25,0.23,0.23,0.12,0.21,0.18,0.21,0.23,0.18,0.46,0.17,0.22,0.31,0.16
a_0,0.23,0.24,0.22,0.25,0.22,0.06,0.18,0.15,0.21,0.24,0.2,0.16,0.39,0.28,0.14,0.2
h_0,0.25,0.34,0.23,0.24,0.16,0.12,0.11,0.23,0.17,0.2,0.18,0.17,0.14,0.1,0.1,0.19
e_0,0.16,0.28,0.24,0.21,0.17,0.11,0.2,0.16,0.2,0.24,0.21,0.22,0.19,0.24,0.36,0.21
g_0,0.26,0.18,0.2,0.36,0.17,0.13,0.17,0.08,0.18,0.27,0.2,0.29,0.16,0.19,0.13,0.13
