,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.07,5.6,10.06,11.02,9.0,6.52,3.07,4.4,3.24,2.79,2.63,2.44,1.76,,2.98,2.65
f_1,14.81,1.07,9.09,8.17,8.54,8.91,2.58,3.99,2.77,2.74,,2.82,1.99,2.52,1.54,2.04
d_1,9.99,10.78,1.07,8.96,8.59,8.84,3.49,2.05,,3.68,2.59,3.22,2.41,2.88,1.5,2.53
c_1,9.18,10.94,10.65,1.07,9.98,10.58,3.61,3.31,1.71,,2.84,3.04,1.87,2.39,2.23,2.92
b_1,8.9,11.01,10.8,7.72,1.07,10.29,4.27,4.07,2.6,3.41,2.35,,3.02,2.74,2.25,
a_1,18.69,15.93,16.31,11.87,10.33,1.07,4.98,5.27,4.38,4.8,4.31,3.82,3.1,,2.33,
h_1,14.05,13.07,15.94,16.55,14.55,10.93,1.41,4.13,4.12,4.69,5.43,4.01,,3.12,2.67,3.24
g_1,17.94,17.68,23.07,16.2,15.17,15.08,5.73,1.41,3.98,4.84,4.19,5.19,2.49,3.27,,3.84
d_0,9.65,15.38,,14.73,16.74,13.24,5.6,5.84,1.78,3.85,3.98,4.12,4.18,,3.02,3.42
c_0,14.01,14.1,8.93,,13.94,11.69,5.37,6.81,5.37,1.79,4.99,6.23,3.23,3.82,2.99,4.26
f_0,17.32,,16.11,15.6,17.3,14.83,5.93,5.2,4.72,3.8,1.7,3.14,3.6,6.47,2.46,4.86
b_0,17.75,15.93,14.4,17.09,,13.41,5.92,4.84,5.86,2.56,7.86,1.74,3.95,4.38,6.08,5.49
h_0,18.98,14.47,16.5,17.21,12.46,18.85,,6.33,3.98,4.94,5.35,4.03,,3.6,4.23,3.36
e_0,,23.4,19.38,22.6,20.08,,9.35,8.06,,6.71,3.27,6.18,5.59,1.69,4.75,5.08
g_0,15.28,30.91,18.19,18.95,23.93,15.33,5.96,,5.68,5.42,6.82,4.81,2.77,5.44,,
a_0,27.43,22.78,22.2,20.48,,,10.6,7.96,7.41,5.84,5.81,4.02,5.5,5.9,,1.78
