,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.32,0.92,0.95,0.82,0.68,0.6,0.68,0.57,0.56,0.63,0.59,0.5,0.39,0.54,0.64
e_1,0.76,1.0,1.05,1.11,0.91,0.96,0.77,0.77,0.6,0.93,0.65,0.8,0.58,0.73,0.65,0.6
d_1,1.08,0.97,1.0,0.91,0.95,0.84,0.71,0.51,0.92,0.55,0.66,0.61,0.56,0.59,0.49,0.45
c_1,1.07,0.9,1.1,1.0,1.49,0.83,0.69,0.74,0.58,0.48,0.59,0.6,0.57,0.61,0.55,0.54
b_1,1.22,1.09,1.05,0.67,1.0,1.22,0.74,0.74,0.68,0.72,0.63,0.67,0.75,0.62,0.54,0.57
a_1,1.45,1.03,1.21,1.21,0.82,1.0,0.94,0.84,0.89,0.8,0.89,0.75,0.81,0.79,0.89,0.68
h_1,1.68,1.32,1.42,1.43,1.3,1.02,1.0,1.05,0.88,0.81,0.83,0.96,0.83,0.67,0.82,1.02
g_1,1.38,1.33,1.9,1.38,1.46,1.26,0.97,1.0,0.8,0.86,0.92,1.2,0.73,0.81,0.83,0.79
c_0,1.66,1.78,1.1,1.69,1.27,1.09,1.14,1.23,1.0,1.3,1.47,0.98,0.92,0.96,1.01,0.86
d_0,1.65,1.1,1.67,2.15,1.47,1.21,1.23,1.18,0.75,1.0,0.92,0.86,0.92,1.05,0.98,0.92
b_0,1.59,1.44,1.45,1.84,1.57,1.19,1.25,1.11,0.7,1.09,1.0,0.98,1.06,0.94,1.31,0.89
f_0,1.73,1.22,1.65,1.8,1.5,1.33,1.07,0.8,1.01,1.14,0.99,1.0,1.03,1.72,0.94,0.71
h_0,1.96,1.78,1.71,1.84,1.34,1.27,1.19,1.35,1.1,1.07,0.96,0.97,1.0,0.81,0.99,0.97
e_0,2.6,1.41,1.62,1.73,1.7,1.29,1.54,1.24,1.03,0.99,1.1,0.61,1.23,1.0,1.0,0.89
a_0,1.91,1.52,1.84,1.89,1.87,1.21,1.23,1.26,1.06,1.07,0.78,1.03,1.08,1.01,1.0,1.06
g_0,1.72,1.64,2.14,1.9,1.73,1.49,0.96,1.2,1.15,1.05,1.23,1.36,1.05,1.1,0.9,1.0
