,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.56,0.71,0.52,0.49,0.63,0.76,0.85,0.93,0.51,1.78,1.14,1.09,1.07,1.04,1.03,1.13
f_1,0.61,2.59,1.16,0.65,0.52,0.46,0.91,0.85,0.87,0.82,0.82,0.39,0.96,0.87,1.0,0.52
e_1,0.58,0.67,2.6,0.72,0.69,0.61,0.95,0.77,1.65,0.94,0.99,0.93,0.89,0.93,0.88,0.46
c_1,0.63,0.58,0.58,3.09,1.18,0.52,0.97,0.96,0.88,0.28,0.64,1.07,1.01,0.91,0.79,0.91
b_1,0.69,0.63,0.65,0.69,3.22,1.25,0.73,0.76,0.82,0.75,0.43,1.06,0.85,0.81,1.02,0.99
a_1,0.73,0.63,0.6,0.7,0.6,4.53,0.99,1.05,0.87,0.87,1.1,0.99,0.95,0.52,1.07,1.11
h_1,0.87,1.15,0.67,0.85,0.68,0.64,2.68,1.53,1.11,1.0,1.01,1.03,0.8,1.17,1.33,1.29
g_1,1.25,0.75,0.67,0.83,0.75,0.61,1.03,3.09,0.9,1.09,1.1,1.6,1.16,0.97,0.54,1.3
d_0,0.54,0.79,0.75,1.59,0.74,0.68,1.16,1.12,2.05,0.91,1.2,0.9,1.14,0.89,1.06,1.51
c_0,0.93,0.93,0.74,0.53,0.65,0.74,1.34,1.05,1.22,1.94,2.29,1.19,1.25,1.48,1.09,1.55
b_0,0.94,0.99,0.77,0.88,0.43,0.71,1.26,1.09,0.96,1.09,2.36,1.03,1.38,2.26,1.41,1.09
f_0,0.96,0.58,0.68,0.74,0.78,0.82,1.12,1.1,1.22,1.25,1.26,2.55,1.15,1.38,1.27,3.01
h_0,0.91,1.24,0.83,0.72,0.7,0.59,0.62,1.38,0.91,1.08,1.32,1.08,0.82,1.12,1.58,0.97
a_0,0.79,0.98,0.83,0.91,0.75,0.32,1.23,1.04,1.26,1.34,1.33,1.08,1.38,2.94,1.22,1.07
g_0,1.27,0.66,0.73,0.85,0.69,0.62,0.9,0.75,0.91,1.18,1.25,1.83,1.18,1.17,0.83,1.37
e_0,1.04,0.94,0.53,0.76,0.86,0.77,1.12,1.19,1.02,1.06,1.48,1.13,1.42,1.15,1.18,3.36
