,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.5,0.16,0.28,0.18,0.19,0.11,0.17,0.12,0.18,0.18,0.2,,0.21,0.16,0.15,0.2
d_1,0.17,1.5,0.15,0.13,0.15,0.14,0.26,0.17,0.32,,0.22,0.2,0.21,0.17,0.18,0.13
e_1,0.15,0.12,1.52,0.18,0.15,,0.16,0.17,0.21,0.35,0.16,0.25,0.22,0.17,,0.19
c_1,0.2,0.2,0.14,1.54,0.27,0.1,0.2,0.17,,0.17,0.2,0.19,0.23,0.15,0.14,0.23
b_1,0.16,0.19,0.19,0.15,1.58,0.23,0.19,0.16,0.18,0.19,,0.15,0.22,0.2,0.2,0.25
a_1,0.15,0.18,,0.23,0.17,1.74,0.25,0.2,0.24,0.15,0.18,0.28,0.31,,0.18,
h_1,0.47,0.33,0.41,0.42,0.3,0.3,1.68,0.58,0.55,0.4,0.37,0.54,,0.41,0.33,0.68
g_1,0.32,0.59,0.36,0.44,0.39,0.35,0.31,1.72,0.43,0.55,0.44,0.6,0.46,0.36,0.36,
c_0,0.55,0.44,0.42,,0.37,0.27,0.51,0.55,1.43,0.61,0.69,0.68,0.66,0.44,0.39,0.54
d_0,0.47,,0.39,0.72,0.44,0.52,0.64,0.47,0.47,1.43,0.73,0.49,0.53,0.48,0.33,0.44
b_0,0.49,0.45,0.52,0.36,,0.39,0.69,0.51,0.53,0.47,1.47,0.4,0.77,0.87,0.39,0.45
f_0,,0.49,0.37,0.51,0.5,0.31,0.33,0.43,0.48,0.71,0.63,1.45,0.69,0.53,1.02,0.54
h_0,0.72,0.68,0.62,0.47,0.59,0.45,,0.81,0.64,0.81,0.58,0.64,,0.39,0.56,1.0
a_0,0.5,0.5,0.58,0.55,0.35,,0.51,0.55,0.65,0.45,0.33,0.48,0.69,1.66,,0.53
e_0,0.6,0.49,,0.43,0.37,0.45,0.66,0.62,0.7,0.84,0.63,0.31,0.61,,1.63,0.5
g_0,0.61,0.92,0.62,0.54,0.51,,0.48,,0.83,0.67,0.88,0.95,0.57,0.55,0.66,
