,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.38,1.11,1.2,1.45,1.31,1.18,2.57,2.56,3.01,4.13,2.68,2.84,2.74,3.57,1.9,3.32
f_1,1.9,2.47,1.07,1.32,1.06,1.17,1.98,2.11,2.26,2.46,1.69,2.49,2.63,2.79,2.06,3.11
d_1,1.13,1.29,2.49,1.0,1.23,1.26,2.57,2.22,4.21,2.09,2.74,3.07,2.66,2.81,3.19,3.03
c_1,1.12,1.1,1.3,2.67,1.97,1.19,2.41,2.19,1.24,2.24,2.68,1.99,2.63,3.05,2.61,3.11
b_1,1.13,1.42,1.18,1.11,2.78,2.06,2.45,2.41,2.49,2.49,2.85,1.9,2.02,3.66,2.33,3.26
a_1,1.39,1.27,1.26,1.13,0.9,3.28,2.52,2.5,2.73,3.13,2.96,2.92,2.28,3.89,3.4,3.72
h_1,1.14,1.9,1.31,1.35,1.29,1.26,3.98,3.38,2.71,2.73,2.5,3.31,3.03,3.25,3.07,4.57
g_1,1.22,1.3,1.87,1.45,1.36,1.07,2.01,4.27,2.86,2.46,4.15,2.84,2.61,3.71,2.68,3.52
c_0,1.17,1.57,1.44,1.45,1.09,1.31,2.81,2.52,4.05,2.95,3.09,5.57,3.56,4.35,3.72,4.2
d_0,1.14,1.49,1.06,2.16,1.41,0.97,2.67,2.94,2.57,4.07,2.88,3.0,3.39,4.25,3.49,3.51
f_0,1.15,1.19,1.56,1.49,1.22,1.26,2.94,2.25,3.23,3.25,4.53,2.98,3.06,3.83,5.81,3.59
b_0,1.25,1.58,1.36,1.77,0.88,1.09,2.48,2.71,2.48,3.08,3.52,4.47,5.32,3.91,3.19,4.17
a_0,1.28,1.65,1.54,1.46,1.33,0.91,2.81,2.89,2.75,2.84,3.13,2.57,4.99,4.13,2.78,3.97
h_0,1.28,1.93,1.55,1.27,1.22,1.22,1.94,3.19,2.6,2.6,2.86,2.69,2.71,3.08,2.57,4.33
e_0,1.14,1.7,1.31,1.43,1.6,1.1,2.57,2.54,2.96,2.88,2.62,3.34,3.58,4.01,5.11,3.59
g_0,1.25,1.2,1.95,1.42,1.22,1.17,2.3,2.02,2.78,2.71,4.11,3.18,3.05,3.42,3.28,3.16
