,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.51,0.77,0.48,0.83,0.57,0.64,0.9,0.89,1.73,0.82,1.12,1.04,1.09,0.9,0.59,1.01
f_1,1.22,2.62,0.56,0.55,0.58,0.52,0.85,0.78,0.98,1.01,0.89,0.35,0.87,0.98,0.57,0.81
d_1,0.58,0.76,2.79,0.52,0.68,0.6,0.85,0.91,0.45,1.71,1.13,0.89,1.08,0.97,1.15,0.94
c_1,0.5,0.6,0.77,2.74,1.24,0.55,0.95,0.86,0.83,0.34,0.64,0.94,0.84,0.94,0.88,0.93
b_1,0.6,0.59,0.74,0.6,3.1,1.35,0.84,0.87,0.79,0.92,0.46,0.99,0.84,0.71,0.79,0.87
a_1,0.65,0.67,0.68,0.82,0.54,4.36,1.01,0.9,0.83,0.72,0.81,1.04,1.03,0.4,0.92,0.89
h_1,0.71,1.05,0.84,0.81,0.83,0.64,2.89,1.45,0.98,1.06,1.24,1.02,0.68,1.11,1.22,1.32
g_1,0.6,0.7,1.31,0.76,0.71,0.71,0.88,3.14,0.83,1.26,0.99,2.08,1.17,1.12,1.65,0.98
d_0,0.81,0.78,0.45,1.64,0.63,0.67,1.15,1.06,1.89,0.8,1.37,1.14,1.21,1.17,1.31,1.25
c_0,0.87,0.86,0.92,0.61,0.54,0.66,1.27,1.12,1.19,2.26,2.16,1.25,1.37,1.37,1.54,1.5
b_0,0.8,0.86,0.99,0.91,0.26,0.47,1.31,1.23,1.13,1.22,2.51,1.42,1.39,2.59,1.3,1.66
f_0,0.74,0.53,1.02,0.87,0.77,0.58,1.08,1.2,1.04,1.04,1.31,2.45,1.31,1.25,3.08,1.44
h_0,0.76,1.23,0.73,0.75,0.69,0.78,0.83,1.61,0.93,1.15,1.2,1.2,0.83,1.48,1.25,1.63
a_0,0.86,0.82,0.84,0.93,0.85,0.49,1.28,1.23,1.12,1.0,1.15,1.28,1.19,3.11,1.19,1.28
e_0,0.46,0.88,0.87,1.04,0.7,0.82,1.38,1.01,1.2,1.26,1.71,1.3,1.13,1.23,3.38,1.4
g_0,0.75,0.7,1.26,0.8,0.63,0.86,1.09,0.87,0.93,1.16,1.29,1.82,1.4,1.19,1.35,0.45
