,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,2.46,1.52,2.07,1.45,1.73,1.68,3.15,5.22,3.46,3.5,4.04,3.54,4.78,3.97,4.62,3.81
f_1,2.37,2.52,1.69,1.46,1.52,1.61,2.96,3.67,3.02,3.4,3.07,3.47,3.91,3.47,4.36,3.11
c_1,1.43,1.65,2.61,1.71,2.6,1.71,3.11,2.93,2.95,2.52,3.51,2.78,4.68,3.62,4.79,3.5
d_1,1.65,1.94,1.41,2.64,1.56,1.53,3.23,2.99,3.03,5.24,3.74,4.28,4.66,3.91,4.85,3.77
b_1,1.54,1.69,1.44,1.71,2.75,2.84,3.32,3.31,3.42,3.58,3.78,3.35,4.48,3.69,3.88,3.86
a_1,1.7,1.61,1.7,1.95,1.5,3.2,3.4,3.57,3.7,3.71,4.33,4.07,4.87,2.96,4.51,4.69
h_1,1.64,2.06,1.68,1.91,1.69,1.56,4.29,3.29,4.09,3.48,3.69,3.35,4.26,3.62,5.05,3.7
d_0,1.45,1.62,2.74,1.52,1.93,1.59,3.47,4.31,3.29,2.6,3.65,3.18,4.96,4.01,4.58,4.14
g_1,1.54,1.66,1.81,2.24,1.71,1.48,3.13,3.55,4.74,3.84,4.82,3.66,4.22,3.48,4.42,3.99
c_0,1.85,1.93,1.71,1.7,1.45,1.56,3.65,4.49,3.4,4.61,4.11,5.72,4.75,4.89,4.74,4.22
f_0,1.55,1.73,1.94,1.86,1.81,1.39,3.54,3.6,3.24,3.7,4.79,4.06,5.33,4.14,4.67,6.61
b_0,1.71,1.97,2.01,1.61,1.51,1.44,3.62,4.21,3.46,3.46,3.57,5.07,4.67,6.48,4.41,4.31
h_0,1.74,2.14,1.61,1.92,1.74,1.58,3.04,3.41,3.98,3.72,3.49,3.89,4.18,4.01,5.36,4.08
a_0,1.69,1.91,1.88,1.63,1.66,1.68,3.88,3.92,3.66,3.46,3.95,3.47,4.65,5.48,4.48,4.48
g_0,1.59,1.69,1.53,2.14,1.81,1.64,3.57,3.42,3.13,4.15,4.96,3.99,4.04,3.9,4.39,4.51
e_0,1.53,1.87,2.04,2.05,1.66,1.4,3.54,3.67,3.61,3.66,3.09,3.54,4.89,4.14,5.02,5.69
