,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,0.87,1.21,1.03,0.84,0.73,0.75,0.89,0.62,0.61,0.71,0.58,0.57,0.61,0.6
f_1,1.27,1.0,0.97,0.97,0.83,0.79,0.6,0.67,0.65,0.58,0.6,0.56,0.49,0.52,0.46,0.54
d_1,1.16,1.05,1.0,0.9,1.0,0.8,0.63,0.55,0.7,0.85,0.73,0.58,0.6,0.58,0.55,0.44
c_1,0.83,1.03,1.1,1.0,1.34,0.89,0.8,0.69,0.51,0.59,0.55,0.64,0.63,0.63,0.64,0.57
b_1,0.98,1.18,1.03,0.76,1.0,1.37,0.75,0.7,0.69,0.76,0.67,0.7,0.62,0.55,0.69,0.56
a_1,1.18,1.28,1.21,1.14,0.73,1.0,0.92,0.93,0.78,0.81,0.89,0.8,0.76,0.82,0.7,0.76
h_1,1.39,1.65,1.57,1.25,1.27,1.01,1.0,1.12,0.92,0.87,0.86,0.85,0.82,0.71,0.76,0.93
g_1,1.38,1.48,1.85,1.41,1.37,1.06,0.87,1.0,0.92,0.96,0.89,1.14,0.73,0.85,0.86,0.82
d_0,1.14,1.49,1.29,2.02,1.49,1.25,1.13,1.09,1.0,0.83,0.92,0.97,0.91,0.94,0.9,0.86
c_0,1.58,1.74,1.15,1.72,1.25,1.28,1.14,1.07,1.22,1.0,1.32,0.98,0.93,1.03,0.83,0.84
b_0,1.64,1.61,1.38,1.77,1.54,1.07,1.17,1.15,1.08,0.8,1.0,1.02,1.15,1.13,0.86,0.85
f_0,1.44,1.79,1.71,1.55,1.43,1.29,1.16,0.87,1.05,1.01,0.94,1.0,0.96,0.88,1.18,0.73
h_0,1.72,2.03,1.69,1.64,1.58,1.26,1.21,1.32,1.07,1.07,0.93,1.08,1.0,0.97,0.88,1.03
a_0,1.73,1.84,1.73,1.62,1.87,1.26,1.45,1.2,1.07,1.0,0.86,1.09,1.05,1.0,0.96,0.95
e_0,1.57,2.21,1.95,1.63,1.43,1.45,1.31,1.06,1.12,1.16,1.23,0.83,1.14,1.07,1.0,0.93
g_0,1.75,1.78,2.19,1.78,1.76,1.32,1.05,1.22,1.16,1.18,1.17,1.4,0.97,1.02,1.05,1.0
