,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.4,1.61,1.53,2.08,1.73,1.62,3.15,5.29,3.35,3.28,3.79,3.91,5.04,3.89,3.25,4.44
f_1,2.31,2.47,1.51,1.73,1.47,1.48,3.11,3.77,3.34,3.16,3.69,2.94,4.05,3.71,2.84,4.78
d_1,1.66,1.82,2.6,1.29,1.68,1.7,3.31,2.85,5.27,2.96,4.17,3.66,4.63,4.02,3.85,4.25
c_1,1.38,1.58,1.78,2.69,2.68,1.79,3.08,3.15,2.71,3.12,2.89,3.32,4.4,3.19,3.71,4.45
b_1,1.55,1.73,1.67,1.44,2.86,2.81,3.12,3.47,3.58,3.67,3.11,4.04,4.28,3.21,4.22,4.21
a_1,1.73,1.99,1.58,1.67,1.43,3.25,3.66,3.95,3.44,2.73,3.75,3.24,4.85,3.67,4.22,5.22
h_1,1.68,2.02,1.87,1.71,1.57,1.39,4.29,3.4,3.83,3.9,3.77,3.75,4.28,4.26,3.66,5.56
d_0,1.52,1.71,1.45,2.53,1.93,1.68,3.14,4.3,2.84,3.29,3.49,3.67,5.02,3.81,3.89,5.03
c_0,1.84,2.0,1.65,1.51,1.55,1.78,3.69,3.56,4.54,3.43,5.48,3.8,4.55,4.95,4.17,5.06
g_1,1.47,1.6,2.38,1.65,1.55,1.89,3.26,3.23,3.84,4.87,3.73,4.88,4.44,3.54,5.07,4.15
b_0,1.72,1.8,1.79,1.9,1.47,1.51,3.6,3.68,3.53,3.45,4.63,3.67,4.99,6.47,3.98,4.82
f_0,1.37,1.75,1.89,1.96,1.68,1.79,3.44,3.68,3.79,3.27,4.11,4.91,5.01,4.22,6.49,4.21
h_0,1.63,2.04,1.79,1.79,1.8,1.65,3.26,3.37,3.69,4.14,3.69,3.78,4.12,3.78,4.12,5.47
a_0,1.72,1.82,1.78,1.91,1.76,1.22,3.38,3.46,3.32,3.59,3.13,4.03,5.29,5.57,3.65,4.65
e_0,1.55,2.02,1.81,1.66,1.68,1.72,3.82,3.54,3.83,3.32,4.48,3.68,4.78,4.46,5.64,4.41
g_0,1.62,1.53,2.28,1.68,1.77,1.51,3.25,3.11,3.77,2.93,3.93,5.0,4.3,4.39,4.75,4.46
