,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.23,0.9,0.97,0.86,0.72,0.58,0.67,0.66,0.59,0.59,0.61,0.5,0.57,0.47,0.56
e_1,0.81,1.0,0.93,1.12,0.99,0.83,0.72,0.71,0.9,0.62,0.76,0.7,0.61,0.62,0.65,0.6
d_1,1.1,1.09,1.0,0.87,0.87,0.72,0.68,0.57,0.76,0.83,0.62,0.63,0.6,0.56,0.6,0.46
c_1,1.01,0.9,1.14,1.0,1.35,0.88,0.71,0.68,0.46,0.52,0.63,0.5,0.57,0.57,0.61,0.51
b_1,1.17,1.0,1.14,0.76,1.0,1.36,0.83,0.79,0.67,0.72,0.61,0.65,0.7,0.52,0.62,0.56
a_1,1.38,1.24,1.38,1.15,0.73,1.0,0.89,0.91,0.66,0.85,0.8,0.95,0.79,0.62,0.65,0.68
h_1,1.71,1.41,1.46,1.43,1.19,1.12,1.0,1.09,0.95,0.76,0.82,0.82,0.82,0.7,0.72,0.94
g_1,1.51,1.42,1.75,1.52,1.25,1.09,0.93,1.0,0.88,0.97,1.09,0.86,0.7,0.9,0.85,0.77
d_0,1.48,1.14,1.34,2.2,1.51,1.57,1.05,1.13,1.0,0.79,0.99,0.84,0.85,0.91,0.76,0.89
c_0,1.74,1.56,1.25,1.83,1.35,1.22,1.32,1.05,1.27,1.0,0.92,1.45,0.93,1.05,0.94,0.85
f_0,1.68,1.34,1.55,1.51,1.64,1.27,1.28,0.94,1.0,1.04,1.0,0.88,0.94,0.86,1.26,0.76
b_0,1.71,1.4,1.51,2.09,1.56,1.03,1.19,1.11,1.13,0.71,1.07,1.0,0.98,1.46,0.92,0.94
h_0,1.95,1.64,1.65,1.73,1.41,1.26,1.28,1.45,1.14,1.04,1.08,1.04,1.0,1.02,0.88,1.02
a_0,1.74,1.6,1.76,1.82,1.95,1.44,1.39,1.07,1.07,0.98,1.12,0.75,0.98,1.0,1.07,0.96
e_0,2.04,1.63,1.75,1.68,1.61,1.56,1.42,1.11,1.32,1.02,0.78,1.12,1.19,0.97,1.0,0.82
g_0,1.81,1.66,2.08,1.92,1.71,1.56,1.08,1.27,1.1,1.22,1.33,1.07,0.98,1.03,1.2,1.0
