,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,11.67,0.63,0.55,0.87,0.66,0.61,1.01,0.87,0.88,2.12,1.07,1.12,0.98,0.88,0.65,0.96
f_1,1.71,12.23,0.61,0.64,0.45,0.57,0.84,0.85,0.85,0.87,0.97,0.57,0.85,0.9,0.58,0.85
d_1,0.58,0.78,14.79,0.46,0.51,0.61,1.09,1.11,2.43,0.55,1.32,1.1,1.03,1.08,1.19,1.08
c_1,0.57,0.64,0.5,15.42,1.91,0.56,0.71,0.77,0.42,0.95,0.64,0.86,0.89,0.95,0.85,0.78
b_1,0.55,0.61,0.67,0.62,16.34,1.98,0.94,0.87,0.84,0.69,0.48,0.76,0.94,0.68,0.91,0.94
a_1,0.56,0.69,0.87,0.8,0.53,25.44,0.91,0.78,0.8,1.06,0.99,0.89,1.31,0.54,1.06,1.04
h_1,0.65,1.15,0.87,0.73,0.8,0.6,3.73,1.55,0.94,0.83,1.02,0.93,0.67,1.24,1.15,1.72
g_1,0.5,0.57,2.02,0.55,0.67,0.69,1.14,5.01,1.12,0.66,0.89,2.3,1.26,1.09,1.26,0.79
c_0,0.76,0.89,0.96,0.54,0.5,0.69,1.11,1.19,2.22,0.95,2.83,1.14,1.28,1.41,1.31,1.35
d_0,0.59,0.65,0.4,2.42,0.87,0.61,0.94,1.06,0.72,2.33,0.92,1.24,0.99,1.2,1.18,1.06
b_0,0.82,0.87,0.77,0.81,0.46,0.53,1.25,1.02,0.98,1.2,2.71,1.38,1.36,2.88,1.42,1.29
f_0,0.44,0.59,0.91,0.97,0.77,0.7,1.16,1.22,1.13,1.2,1.31,3.04,1.46,1.29,4.07,1.09
h_0,0.74,1.45,0.89,0.58,0.65,0.63,0.65,1.28,1.11,0.95,0.91,1.2,0.78,1.22,1.33,1.77
a_0,0.74,0.78,1.14,0.72,0.76,0.52,1.08,1.06,1.14,0.88,1.05,1.02,1.3,2.75,1.06,1.27
e_0,0.36,0.81,0.86,1.23,0.83,0.66,1.13,0.94,0.92,1.12,1.36,1.31,1.19,1.36,3.78,1.25
g_0,0.59,0.73,1.62,0.65,0.66,0.64,1.16,0.85,1.17,0.79,1.12,2.0,0.97,1.17,1.34,0.95
