,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,116.2,29.58,37.42,64.26,54.57,168.31,4557.11,8449.61,12609.23,21645.78,25169.01,26480.55,61505.34,28360.97,50281.34,73539.35
d_1,40.45,118.79,36.6,45.58,58.75,165.48,4226.93,6954.68,20740.72,6437.48,21928.05,24282.46,64365.34,62725.83,52301.83,80790.52
f_1,53.72,39.51,122.95,44.0,53.58,136.41,4298.91,8761.34,11189.59,13939.2,6318.16,23648.94,50765.02,40463.11,62189.71,93564.72
c_1,24.44,31.51,37.49,156.5,90.07,130.25,3565.91,7464.06,4165.77,10622.84,19177.73,13106.03,59720.73,49973.45,50053.59,88759.0
b_1,32.04,26.09,33.0,36.19,174.92,252.04,4043.66,6969.91,8773.18,11265.36,17803.0,8289.9,63930.16,54780.85,48692.76,78275.51
a_1,20.87,22.57,23.71,39.62,30.77,411.38,2329.18,6020.99,7061.75,8562.52,11676.78,20385.99,34991.61,37683.06,14589.95,63688.37
h_1,10.55,13.74,16.27,19.26,17.54,45.25,2799.23,3172.4,3782.19,3772.61,6624.23,9671.45,10323.01,16733.19,17209.57,38846.86
g_1,9.03,15.86,9.38,9.41,15.37,38.03,1106.05,4867.81,3219.97,3310.16,7322.83,7143.31,11269.71,14963.16,13137.21,17150.36
c_0,8.55,8.58,11.18,10.14,14.58,42.45,1234.79,2323.64,5247.15,3185.81,5033.24,10399.87,12660.2,15519.54,18256.93,26252.29
d_0,8.26,3.92,9.51,21.94,14.74,28.2,1168.49,1650.79,2012.12,5444.7,4837.14,6295.88,14071.19,12160.46,12422.74,20574.8
f_0,6.38,9.02,6.36,10.5,13.45,31.87,1011.42,1715.59,2922.23,2693.15,7925.71,6023.35,14875.69,23542.16,11628.92,20629.6
b_0,6.24,9.97,8.99,12.97,5.72,21.31,848.34,1571.13,2080.08,2221.32,4018.36,9086.34,15401.22,10076.65,20771.56,15715.24
h_0,4.86,5.63,8.14,8.27,7.9,25.79,469.36,2034.55,2072.82,2264.09,2957.63,3432.77,6301.03,7753.74,9853.6,19869.78
e_0,3.19,6.73,8.05,7.97,7.16,27.88,750.02,1337.9,1716.14,2089.13,2331.6,4194.26,11041.95,17807.7,7561.24,14138.91
a_0,5.85,6.4,6.63,8.07,7.73,,734.64,1277.36,1652.23,2013.04,3335.2,3000.88,11550.88,9641.7,17714.87,17132.53
g_0,4.61,7.59,4.44,7.78,7.11,20.04,538.37,665.39,1450.84,1531.35,3245.95,3956.45,7264.55,8629.01,7542.03,8223.7
