,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.3,0.81,1.09,0.69,0.73,0.52,1.44,3.11,1.27,1.68,1.65,1.71,2.43,1.58,1.15,1.84
f_1,1.47,2.38,0.81,0.79,0.59,0.62,1.34,1.73,1.07,1.51,1.61,0.89,1.82,1.25,0.84,1.61
c_1,0.8,0.84,2.4,0.74,1.38,0.66,1.5,1.44,1.22,0.82,1.12,1.51,1.91,1.26,1.35,1.7
d_1,0.83,0.89,0.65,2.5,0.71,0.59,1.36,1.0,1.66,3.19,2.05,1.71,2.38,1.84,1.42,2.04
b_1,0.67,0.81,0.85,0.77,2.63,1.34,1.43,1.52,1.35,1.64,1.15,1.59,2.01,0.91,1.4,1.95
a_1,1.03,1.0,0.68,0.88,0.78,3.11,1.72,1.72,1.38,1.74,1.74,1.49,2.32,0.77,1.41,2.05
h_1,0.94,1.39,0.93,0.82,0.83,0.65,3.44,1.84,2.03,1.51,1.63,1.79,1.6,1.51,1.43,2.37
d_0,0.83,0.89,1.75,0.57,0.89,0.6,1.66,2.95,1.49,1.25,1.76,1.79,2.1,1.39,1.67,2.1
g_1,0.86,0.82,0.93,1.42,0.78,0.62,1.33,1.44,3.63,1.98,1.74,2.57,2.48,1.18,1.87,1.56
c_0,0.96,1.04,0.72,1.05,0.56,0.73,1.73,1.91,1.62,3.23,3.48,2.11,2.73,2.08,1.84,2.24
b_0,1.03,1.07,1.06,0.92,0.48,0.54,1.57,2.03,1.72,1.94,3.34,1.97,2.57,3.4,1.8,1.95
f_0,0.75,0.77,1.07,1.12,0.87,0.62,1.78,1.82,1.89,1.77,1.89,3.4,2.68,1.95,3.22,2.41
h_0,0.95,1.27,0.87,1.13,0.65,0.68,0.96,1.82,1.83,1.85,1.75,1.62,1.74,1.52,1.42,2.92
a_0,0.99,1.19,1.06,0.92,0.69,0.46,1.4,2.01,1.41,2.12,2.16,1.78,2.84,3.47,1.65,2.16
e_0,0.67,1.09,1.07,0.98,0.88,0.75,1.91,1.75,1.57,1.8,1.84,1.86,2.58,1.61,3.42,2.35
g_0,0.85,0.85,0.83,1.51,0.79,0.74,1.6,1.65,1.29,2.03,1.8,2.86,2.47,1.44,2.04,1.57
