,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.7,2.45,1.04,1.12,1.0,1.44,4.16,5.23,4.27,5.39,6.8,2.29,9.27,5.84,9.06,4.37
e_1,1.54,6.02,1.01,1.55,1.14,0.95,4.99,6.4,4.8,11.68,6.11,7.05,10.03,7.48,9.38,3.62
d_1,1.29,1.15,6.2,1.19,1.44,1.01,5.27,11.5,4.19,2.09,6.26,6.7,8.87,6.35,9.17,8.41
c_1,1.23,1.03,1.36,6.46,2.61,1.31,4.7,1.97,3.96,5.68,4.43,5.85,9.49,5.26,9.67,6.27
b_1,1.2,1.11,1.46,1.49,7.77,2.51,4.67,5.27,3.89,5.74,2.5,6.27,8.25,6.25,7.42,6.14
a_1,1.11,1.33,1.4,1.42,1.21,11.58,4.88,6.36,5.77,6.1,6.77,6.96,10.2,2.64,8.61,6.37
h_1,2.02,1.32,1.86,1.38,1.41,1.53,15.64,6.76,7.92,7.62,8.13,7.3,5.37,6.3,16.45,7.12
c_0,1.99,1.43,1.57,1.05,1.17,1.54,6.19,15.31,8.34,8.24,16.72,9.3,12.29,10.14,10.41,9.9
g_1,1.46,1.41,2.37,1.54,1.58,1.32,5.48,7.3,20.11,6.33,7.1,11.17,9.63,7.73,5.29,8.16
d_0,1.69,1.33,0.96,3.23,1.44,1.42,5.9,4.99,6.33,15.72,8.85,7.63,11.19,9.46,14.97,9.57
b_0,2.02,1.5,1.71,1.81,0.54,1.36,4.97,7.32,6.22,8.57,19.4,8.23,12.83,18.74,12.47,8.14
f_0,1.05,1.13,1.86,1.83,1.76,1.68,6.58,7.75,6.49,7.7,7.56,19.3,10.75,9.14,10.37,21.8
h_0,2.55,1.48,1.61,1.67,1.38,1.46,3.08,7.0,9.27,7.13,7.78,7.16,7.69,7.42,13.44,5.83
a_0,1.7,1.37,2.2,1.62,1.58,0.72,6.16,7.1,5.25,8.87,7.5,7.97,13.2,23.08,11.1,10.0
g_0,1.35,1.4,2.52,1.74,1.56,1.17,5.66,8.06,4.68,7.28,7.75,12.0,11.55,6.15,6.74,10.26
e_0,1.81,0.83,1.8,1.93,1.56,1.58,5.4,9.26,4.63,7.66,6.43,8.13,12.51,6.66,13.62,26.09
