,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.02,1.15,0.87,0.94,0.79,0.59,0.62,0.61,0.7,0.65,0.5,0.51,0.5,0.46,0.59
c_1,0.98,1.0,0.82,1.35,1.22,0.82,0.6,0.5,0.52,0.67,0.44,0.52,0.52,0.56,0.53,0.58
e_1,0.86,1.23,1.0,1.01,0.81,0.82,0.81,0.95,0.65,0.66,0.66,0.7,0.54,0.66,0.5,0.64
b_1,1.17,0.74,0.99,1.0,1.04,1.26,0.79,0.62,0.75,0.78,0.64,0.64,0.56,0.58,0.63,0.56
d_1,1.06,0.82,1.23,0.96,1.0,0.86,0.68,0.74,0.9,0.53,0.71,0.74,0.72,0.67,0.58,0.47
a_1,1.27,1.22,1.22,0.8,1.16,1.0,0.89,0.77,0.71,0.81,0.85,0.71,0.73,0.65,0.71,0.69
h_1,1.7,1.68,1.23,1.28,1.42,1.13,1.0,0.95,0.91,1.24,0.92,0.82,0.79,0.97,0.74,0.87
d_0,1.62,2.0,1.06,1.59,1.43,1.23,1.04,1.0,0.79,0.95,0.7,0.86,0.79,0.82,0.97,0.84
c_0,1.58,1.97,1.52,1.31,1.12,1.3,1.14,1.28,1.0,0.99,1.27,0.95,1.12,0.99,0.92,0.88
g_1,1.41,1.51,1.52,1.28,1.96,1.23,0.82,0.98,1.03,1.0,0.92,1.14,0.93,0.77,0.85,0.86
b_0,1.59,2.2,1.54,1.48,1.41,1.16,1.06,1.4,0.8,1.02,1.0,0.89,1.36,0.96,0.88,0.97
f_0,2.11,1.92,1.44,1.53,1.29,1.4,1.26,1.16,0.99,0.82,1.1,1.0,0.97,1.01,1.23,0.73
a_0,2.02,1.97,1.76,1.78,1.45,1.53,1.29,1.24,0.89,1.18,0.73,1.01,1.0,1.12,0.96,0.87
h_0,1.99,1.82,1.51,1.75,1.54,1.51,1.02,1.17,0.99,1.26,1.07,0.97,0.94,1.0,1.03,1.0
e_0,2.16,1.76,1.98,1.66,1.67,1.45,1.41,1.08,1.1,1.16,1.03,0.81,1.02,1.02,1.0,0.96
g_0,1.65,1.72,1.52,1.76,2.07,1.51,1.18,1.21,1.1,1.19,0.99,1.35,1.1,0.99,1.08,1.0
