,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.32,0.9,1.0,0.9,0.88,0.86,0.92,0.96,0.94,0.93,0.97,0.82,0.95,0.77,1.12
e_1,0.76,1.0,1.28,0.92,1.01,1.08,1.05,1.42,1.11,0.97,1.18,1.03,1.2,1.11,1.21,0.96
c_1,1.12,0.78,1.0,1.14,1.46,0.86,0.92,0.67,0.98,0.73,0.89,0.8,1.0,0.83,0.9,1.06
d_1,1.01,1.08,0.88,1.0,0.99,0.9,1.1,1.05,0.85,1.37,1.08,1.16,1.03,1.1,0.97,0.81
b_1,1.11,1.0,0.7,0.99,1.0,1.49,1.04,1.04,1.09,0.98,0.93,0.92,1.06,0.96,1.07,1.01
a_1,1.13,0.93,1.16,1.13,0.66,1.0,1.07,1.13,0.98,1.07,0.97,1.02,1.07,1.08,1.12,1.04
h_1,1.2,0.93,1.12,0.92,0.92,0.87,1.0,0.85,1.18,0.92,0.87,1.02,0.82,0.79,0.93,1.09
d_0,1.06,0.7,1.46,1.03,1.01,0.9,1.14,1.0,1.08,0.95,1.09,1.06,0.98,0.87,0.97,1.35
g_1,1.05,0.9,0.99,1.18,0.91,1.02,0.82,0.91,1.0,0.85,1.21,0.92,0.78,1.01,1.05,0.92
c_0,1.0,1.05,1.26,0.72,0.97,0.88,1.11,1.05,1.16,1.0,0.99,1.5,1.09,1.08,1.23,1.03
f_0,1.07,0.82,1.08,0.96,1.07,1.04,1.17,0.96,0.81,1.04,1.0,1.02,1.04,1.53,1.03,0.86
b_0,1.06,0.98,1.27,0.86,1.1,0.98,1.03,0.96,1.09,0.69,0.94,1.0,0.96,0.93,1.4,1.07
h_0,1.22,0.89,1.04,0.98,0.94,0.94,1.2,1.0,1.22,0.9,0.86,1.01,1.0,0.92,0.98,1.15
e_0,1.07,0.92,1.16,0.93,1.03,0.92,1.26,1.14,1.01,0.89,0.69,1.01,1.12,1.0,1.13,1.01
a_0,1.24,0.91,1.12,1.02,0.96,0.84,1.11,0.99,0.9,0.84,1.02,0.73,1.01,0.89,1.0,1.13
g_0,0.85,1.02,0.96,1.24,0.96,0.94,0.92,0.79,1.09,1.02,1.13,0.98,0.88,0.96,0.94,1.0
