,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,12.35,0.66,0.58,0.99,0.6,0.58,0.92,2.23,0.77,0.75,1.01,1.15,0.99,0.72,0.91,0.9
f_1,2.02,13.66,0.53,0.53,0.44,0.51,0.87,0.92,0.82,1.05,0.59,0.96,0.96,0.55,1.08,0.81
d_1,0.56,0.78,16.54,0.41,0.63,0.58,0.95,0.46,0.94,2.83,0.95,1.21,0.94,1.15,0.98,1.11
c_1,0.48,0.56,0.59,14.68,1.96,0.63,0.99,0.84,0.74,0.4,1.01,0.55,0.94,0.91,0.65,0.94
b_1,0.52,0.56,0.69,0.66,14.17,1.92,0.89,0.83,0.95,0.81,0.87,0.53,0.97,1.03,0.68,1.01
a_1,0.59,0.86,0.7,0.76,0.57,20.76,0.79,0.96,0.88,0.66,1.04,0.86,1.25,1.11,0.65,0.86
h_1,0.65,1.3,0.93,0.75,0.65,0.56,3.51,0.76,1.9,0.95,0.96,1.01,0.71,1.14,1.21,1.72
d_0,0.6,0.62,0.49,2.2,0.88,0.7,1.08,2.19,1.07,0.6,1.21,1.15,1.09,1.17,1.41,1.05
g_1,0.6,0.66,1.69,0.74,0.66,0.78,0.9,0.7,4.54,0.99,2.02,1.0,0.94,1.11,1.02,0.72
c_0,0.84,0.85,1.01,0.51,0.41,0.71,1.1,1.21,1.06,2.69,1.23,3.69,1.17,1.06,1.85,1.38
f_0,0.54,0.51,0.92,0.98,0.77,0.88,1.24,1.04,1.3,1.11,2.82,1.32,1.15,3.11,1.21,1.25
b_0,0.71,0.98,0.74,0.97,0.42,0.38,1.32,1.19,1.35,0.92,1.1,3.1,1.23,1.28,3.96,1.24
h_0,0.61,1.27,0.89,0.71,0.7,0.85,0.8,1.14,1.74,0.96,1.04,1.05,0.77,1.1,0.94,1.41
e_0,0.47,0.9,0.93,0.82,0.61,0.67,1.45,1.06,1.64,1.16,0.97,1.34,1.64,3.82,1.82,1.45
a_0,0.79,0.77,0.99,0.83,0.71,0.43,1.37,1.05,1.53,1.31,1.1,1.35,0.97,0.98,3.05,1.08
g_0,0.49,0.62,1.82,0.59,0.82,0.71,1.03,0.76,1.01,1.27,2.11,1.01,1.02,1.31,1.33,0.89
