,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,2.38,0.23,0.3,0.22,0.27,0.25,0.4,1.0,0.58,0.61,0.66,0.52,0.77,0.57,0.89,
f_1,0.45,2.44,0.29,0.24,0.28,0.37,0.57,0.6,0.48,0.73,,0.53,0.61,0.43,0.68,0.55
c_1,0.29,0.27,2.54,0.27,0.44,0.24,0.51,0.53,0.48,,0.69,0.59,0.91,0.47,0.97,0.51
d_1,0.28,0.31,0.26,2.56,0.27,0.25,0.56,,0.52,0.93,0.56,0.53,0.81,0.52,0.84,0.63
b_1,0.28,0.23,0.23,0.28,2.7,0.48,0.54,0.46,0.64,0.51,0.76,,1.02,,0.65,0.55
a_1,0.29,0.2,0.3,0.32,0.23,3.15,0.53,0.55,0.51,0.79,0.67,,0.78,,0.73,
h_1,0.5,0.61,0.59,0.59,0.5,0.53,3.71,1.27,1.29,1.14,1.13,1.15,,0.85,1.69,1.32
d_0,0.53,0.6,0.97,,0.66,0.65,1.33,3.39,1.1,1.18,1.48,1.32,1.46,1.52,1.61,1.41
g_1,0.55,0.46,0.57,0.72,0.51,0.73,0.96,1.1,4.23,0.93,1.42,1.21,1.2,,,
c_0,0.59,0.56,,0.56,0.67,0.41,1.28,1.34,1.1,3.6,1.52,2.55,1.85,1.24,1.68,1.04
f_0,0.54,,0.68,0.6,0.42,0.61,1.51,1.44,1.28,1.22,3.69,1.46,2.33,1.43,1.19,2.54
b_0,0.63,0.66,0.56,0.65,,,1.47,1.37,1.03,1.04,1.29,3.97,1.89,2.35,1.68,
h_0,0.68,1.18,0.64,0.81,0.73,0.62,,1.7,1.96,1.85,1.03,1.71,,1.67,2.56,1.42
a_0,0.6,0.81,0.55,0.65,,,1.5,1.58,,1.32,1.58,1.06,1.92,4.72,1.54,
g_0,0.67,0.76,0.57,1.02,0.98,0.63,1.32,1.42,,1.74,2.52,1.52,1.48,1.76,,2.23
e_0,,0.77,0.66,0.6,0.67,,1.11,1.55,,1.93,1.19,,1.74,,1.56,4.87
