,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.93,0.09,0.12,0.09,0.09,0.07,0.08,0.1,0.05,0.04,0.05,0.07,0.04,0.06,,0.05
f_1,0.17,0.93,0.09,0.1,0.09,0.07,0.06,0.07,0.07,0.04,0.05,,0.05,0.05,0.05,0.06
c_1,0.1,0.12,0.93,0.13,0.15,0.06,0.06,0.06,,0.05,0.05,0.06,0.05,0.06,0.05,0.05
d_1,0.11,0.1,0.08,0.93,0.1,0.07,0.09,,0.08,0.05,0.06,0.07,0.05,0.07,0.04,0.04
b_1,0.12,0.11,0.11,0.12,0.93,0.1,0.07,0.07,0.07,0.06,,0.05,0.04,0.07,0.03,0.06
a_1,0.12,0.12,0.13,0.08,0.07,0.93,0.1,0.09,0.06,0.07,0.07,0.05,,0.08,,0.08
h_1,0.23,0.39,0.27,0.25,0.28,0.19,0.71,0.21,0.21,0.23,0.15,0.14,0.12,,0.11,0.14
d_0,0.35,0.39,0.51,,0.35,0.24,0.21,0.6,0.25,0.16,0.18,0.18,0.13,0.18,0.14,0.14
c_0,0.44,0.33,,0.36,0.29,0.23,0.21,0.19,0.57,0.24,0.36,0.2,0.16,0.2,0.12,0.13
g_1,0.36,0.29,0.33,0.42,0.26,0.19,0.18,0.18,0.18,0.71,0.18,0.23,0.15,0.16,,
b_0,0.45,0.42,0.37,0.37,,0.24,0.25,0.2,0.21,0.22,0.59,0.17,0.31,0.19,,0.2
f_0,0.32,,0.36,0.31,0.37,0.25,0.25,0.27,0.23,0.18,0.25,0.59,0.21,0.26,0.24,0.14
a_0,0.44,0.42,0.43,0.36,0.31,,0.28,0.36,0.34,0.21,0.15,0.15,0.57,,,0.15
h_0,0.44,0.63,0.51,0.42,0.45,0.28,,0.33,0.31,0.35,0.28,0.23,,,0.24,0.35
e_0,,0.45,0.33,0.51,0.41,,0.36,0.34,0.33,,,0.16,,0.22,0.57,
g_0,0.49,0.53,0.45,0.73,0.48,0.25,0.34,0.29,0.37,,0.26,0.43,0.28,0.22,,
