,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.76,1.13,1.46,2.48,2.93,20.43,37.76,32.85,32.68,34.82,48.05,108.09,128.21,,151.69
f_1,1.32,1.0,1.03,1.58,1.31,2.47,15.58,24.24,27.68,26.75,39.35,,70.13,99.52,100.21,152.39
d_1,0.89,0.97,1.0,0.87,1.86,2.72,16.46,,27.25,17.84,26.4,37.77,61.4,92.63,66.92,65.75
c_1,0.68,0.63,1.15,1.0,1.81,2.18,11.7,12.91,,21.47,24.77,26.1,67.09,60.08,76.38,73.39
b_1,0.4,0.77,0.54,0.55,1.0,2.86,9.93,15.75,15.76,20.97,,21.31,36.53,,50.14,45.18
a_1,0.34,0.4,0.37,0.46,0.35,1.0,8.13,9.28,5.94,8.62,9.91,,24.83,,44.22,
h_1,0.05,0.06,0.06,0.09,0.1,0.12,1.0,1.48,1.39,2.01,1.79,2.18,,3.99,6.33,6.99
d_0,0.03,0.04,,0.08,0.06,0.11,0.68,1.0,1.26,1.04,1.11,1.81,2.76,3.73,3.54,3.93
c_0,0.03,0.04,0.04,,0.06,0.17,0.72,0.79,1.0,1.18,1.57,1.18,2.94,2.75,3.1,3.92
g_1,0.03,0.04,0.06,0.05,0.05,0.12,0.5,0.96,0.85,1.0,1.13,1.53,2.42,2.86,3.31,
b_0,0.03,0.03,0.04,0.04,,0.1,0.56,0.9,0.64,0.88,1.0,1.05,2.46,,2.62,2.42
f_0,0.02,,0.03,0.04,0.05,,0.46,0.55,0.85,0.65,0.95,1.0,1.83,2.02,4.41,2.18
h_0,0.01,0.01,0.02,0.01,0.03,0.04,,0.36,0.34,0.41,0.41,0.55,,1.11,1.15,1.74
a_0,0.01,0.01,0.01,0.02,,,0.25,0.27,0.36,0.35,,0.49,0.9,1.0,,1.27
e_0,,0.01,0.01,0.01,0.02,0.02,0.16,0.28,0.32,0.3,0.38,0.23,0.87,,1.0,1.01
g_0,0.01,0.01,0.02,0.01,0.02,,0.14,0.25,0.25,,0.41,0.46,0.57,0.79,0.99,
