,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.95,0.51,0.52,0.59,0.48,0.36,0.39,0.36,0.36,0.5,0.3,0.32,0.26,0.31,0.19,0.27
f_1,0.88,0.95,0.5,0.54,0.42,0.33,0.34,0.31,0.3,0.33,0.22,0.29,0.25,0.26,0.18,0.24
d_1,0.59,0.59,0.95,0.42,0.47,0.39,0.42,0.33,0.52,0.28,0.32,0.37,0.26,0.29,0.26,0.26
c_1,0.54,0.55,0.63,0.95,0.79,0.37,0.4,0.34,0.22,0.29,0.31,0.22,0.26,0.31,0.25,0.26
b_1,0.58,0.67,0.61,0.49,0.95,0.64,0.4,0.38,0.36,0.32,0.34,0.22,0.21,0.34,0.23,0.26
a_1,0.76,0.7,0.66,0.59,0.41,0.94,0.49,0.44,0.42,0.46,0.38,0.4,0.27,0.41,0.35,0.34
h_1,0.82,1.08,0.81,0.78,0.68,0.52,0.78,0.63,0.48,0.48,0.4,0.49,0.35,0.4,0.35,0.48
g_1,0.84,0.86,1.13,0.83,0.75,0.47,0.47,0.78,0.53,0.46,0.62,0.46,0.35,0.47,0.36,0.38
c_0,0.91,1.07,0.9,0.85,0.63,0.55,0.66,0.55,0.72,0.56,0.51,0.84,0.49,0.55,0.48,0.47
d_0,0.8,0.95,0.79,1.33,0.85,0.42,0.6,0.58,0.44,0.69,0.45,0.47,0.44,0.56,0.44,0.38
f_0,0.85,0.95,1.02,0.93,0.74,0.6,0.68,0.53,0.64,0.63,0.71,0.54,0.46,0.52,0.72,0.44
b_0,0.97,1.08,0.9,1.06,0.65,0.5,0.63,0.59,0.5,0.6,0.56,0.71,0.72,0.56,0.41,0.52
a_0,1.0,1.17,1.07,0.97,0.84,0.49,0.77,0.67,0.59,0.57,0.57,0.45,0.69,0.58,0.38,0.47
h_0,1.03,1.36,1.1,0.83,0.78,0.64,0.57,0.73,0.59,0.53,0.51,0.49,0.44,0.5,0.37,0.6
e_0,1.01,1.3,1.03,0.92,0.96,0.53,0.73,0.61,0.62,0.58,0.51,0.62,0.55,0.56,0.66,0.5
g_0,1.04,1.01,1.45,0.96,0.84,0.64,0.64,0.54,0.61,0.58,0.78,0.61,0.52,0.51,0.48,0.46
