,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.65,0.74,1.05,1.25,1.14,1.05,0.54,0.51,0.48,0.35,0.49,0.42,0.33,0.35,0.46,0.4
f_1,1.11,0.65,1.01,1.14,1.08,0.85,0.39,0.52,0.38,0.37,0.45,0.38,0.25,0.36,0.31,0.3
d_1,1.35,1.22,0.64,1.02,1.02,0.94,0.48,0.37,0.52,0.44,0.37,0.41,0.31,0.41,0.31,0.21
c_1,0.92,1.07,1.28,0.63,1.38,1.07,0.48,0.46,0.27,0.46,0.37,0.33,0.34,0.37,0.4,0.33
b_1,1.1,1.41,1.11,0.76,0.63,1.28,0.54,0.47,0.45,0.47,0.4,0.47,0.34,0.35,0.42,0.35
a_1,1.39,1.57,1.37,1.32,0.79,0.58,0.62,0.72,0.51,0.48,0.45,0.72,0.44,0.9,0.47,0.34
h_1,1.57,1.91,1.72,1.78,1.65,1.47,0.56,0.73,0.68,0.56,0.57,0.67,0.64,0.58,0.54,0.58
g_1,1.81,1.95,1.86,2.02,1.86,1.41,0.71,0.53,0.69,0.68,0.75,0.64,0.4,0.59,0.57,0.58
d_0,1.28,1.89,2.54,2.27,1.98,1.86,0.94,0.91,0.58,0.61,0.75,0.65,0.58,0.66,0.68,0.72
c_0,2.28,2.06,1.38,2.4,1.98,1.68,1.0,0.89,0.98,0.57,0.86,0.81,0.63,0.73,0.6,0.59
f_0,1.93,2.8,1.99,2.17,1.96,1.76,0.99,0.63,0.78,0.66,0.55,0.73,0.64,0.62,0.9,0.44
b_0,1.94,2.12,1.77,2.81,2.32,1.64,0.87,1.11,0.83,0.44,0.8,0.55,0.59,0.8,0.66,0.58
h_0,2.24,2.42,2.19,2.11,2.14,1.73,1.12,1.14,0.85,0.83,0.76,0.77,0.8,0.81,0.64,0.67
a_0,2.35,2.51,2.06,2.42,2.86,2.22,1.17,1.07,0.87,0.74,0.87,0.48,0.6,0.53,0.8,0.79
e_0,3.08,2.84,2.4,2.47,2.07,1.88,1.0,0.95,1.04,0.86,0.55,0.91,0.89,0.76,0.54,0.57
g_0,2.25,2.9,2.76,2.36,2.29,2.45,0.8,1.13,0.89,0.87,0.85,0.92,0.6,0.66,0.81,0.74
