,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.82,2.88,1.44,1.29,1.42,1.2,5.06,4.64,5.99,7.09,6.31,4.03,11.07,7.79,9.06,4.48
e_1,1.68,6.13,1.37,1.97,1.49,1.6,5.36,4.75,7.03,13.81,6.61,7.38,11.15,7.63,11.24,3.88
d_1,1.85,1.35,6.18,1.25,1.39,1.63,5.93,6.67,13.27,4.31,8.46,7.21,11.31,7.63,11.53,7.99
c_1,1.49,1.32,1.55,6.96,2.77,1.21,4.75,4.4,2.53,6.64,5.15,7.89,8.0,5.68,10.6,7.58
b_1,1.34,1.55,1.55,1.54,7.39,2.85,6.23,5.09,7.18,6.77,4.14,6.86,12.07,5.11,10.0,6.98
a_1,1.83,1.42,1.66,1.57,1.39,10.6,5.59,5.48,6.27,8.04,9.37,8.62,12.95,4.48,10.99,9.79
h_1,2.41,1.51,2.2,1.88,1.53,1.75,16.79,8.69,9.09,8.38,10.02,8.15,9.5,8.9,19.95,10.45
g_1,1.3,1.72,2.96,1.85,1.71,1.66,6.48,19.53,8.92,6.84,9.88,13.57,12.3,9.11,9.39,9.82
c_0,1.89,1.78,2.08,1.11,1.5,2.37,7.48,7.85,16.1,9.29,18.23,12.44,14.69,11.7,15.91,10.79
d_0,1.65,1.87,1.11,3.94,1.95,1.62,6.25,7.72,6.06,16.05,8.81,9.07,11.13,8.38,11.95,11.35
b_0,1.97,1.71,1.97,1.89,1.24,1.68,7.76,8.92,8.89,8.95,19.07,10.41,14.82,21.74,15.6,12.2
f_0,1.14,1.3,1.96,2.04,1.89,2.41,8.87,7.3,9.33,9.37,10.81,19.81,14.25,11.13,15.94,23.99
h_0,2.54,1.73,2.1,1.75,1.75,1.87,4.89,8.84,8.38,8.04,8.83,9.64,7.84,11.78,18.06,6.83
a_0,1.94,1.85,2.38,1.79,1.87,1.09,8.05,7.94,8.78,8.07,10.76,10.06,16.06,25.73,15.97,10.37
g_0,1.68,1.6,2.95,1.74,1.63,2.1,7.98,5.42,9.02,8.22,9.17,13.49,12.32,9.87,8.28,13.68
e_0,2.0,0.83,2.26,2.32,1.87,1.81,8.01,8.06,8.53,9.01,8.82,10.95,15.49,10.37,12.89,28.54
