,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,5.81,0.08,0.07,0.09,0.06,0.08,0.33,0.69,0.24,0.32,0.29,0.47,0.54,,0.25,0.44
f_1,0.19,6.09,0.08,0.05,0.05,0.08,0.28,0.29,0.28,0.52,,0.31,0.54,0.32,0.36,0.46
d_1,0.06,0.1,6.36,0.07,0.08,0.07,0.31,,0.33,0.76,0.37,0.37,0.53,0.39,0.26,0.51
c_1,0.05,0.08,0.08,6.36,0.16,0.07,0.31,0.31,0.2,,0.49,0.35,0.76,0.37,0.37,0.59
b_1,0.07,0.07,0.08,0.07,7.32,0.13,0.33,0.4,0.26,0.35,0.41,,0.49,0.45,0.34,0.56
a_1,0.08,0.08,0.09,0.08,0.06,10.35,0.26,0.39,0.25,0.25,0.27,0.44,0.77,,,0.46
h_1,0.22,0.35,0.27,0.36,0.27,0.24,14.25,1.33,1.48,1.24,1.22,1.26,,1.82,1.6,3.22
d_0,0.42,0.31,,0.72,0.38,0.39,1.41,11.22,1.58,1.33,1.99,2.2,2.67,1.76,2.48,2.09
g_1,0.29,0.23,0.39,0.32,0.25,0.25,1.0,1.02,16.85,1.51,2.72,1.06,1.87,1.34,1.54,
c_0,0.48,0.35,0.38,,0.3,0.27,1.75,1.73,1.41,12.07,2.1,2.79,3.32,1.72,1.54,3.46
f_0,0.29,,0.45,0.34,0.44,0.55,1.18,1.99,1.33,1.36,13.96,1.98,2.77,3.95,2.32,2.73
b_0,0.25,0.58,0.33,0.33,,0.24,1.37,2.26,1.37,1.86,1.6,15.09,2.77,1.89,3.69,3.06
h_0,0.54,0.78,0.61,0.51,0.49,0.55,,3.74,2.73,3.16,2.67,2.77,,1.63,2.53,5.05
e_0,,0.24,0.23,0.39,0.36,,1.67,2.11,1.52,2.1,1.54,1.77,4.43,21.22,,3.87
a_0,0.34,0.41,0.3,0.39,0.5,,1.83,1.95,1.72,2.02,1.33,1.9,2.98,,19.15,3.55
g_0,0.46,0.46,0.95,0.49,0.63,0.53,1.96,2.55,,3.36,3.98,2.32,4.59,2.29,2.84,
