,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.44,34.09,29.44,40.94,27.64,28.8,5.89,10.33,8.3,7.04,5.71,,7.41,3.36,,5.18
e_1,20.71,0.44,34.58,32.99,36.98,36.57,9.9,12.15,6.83,6.24,5.49,6.65,9.04,5.09,,4.26
d_1,37.96,51.85,0.43,33.44,33.28,30.32,8.37,5.14,6.39,,6.82,5.91,6.07,5.19,7.02,3.24
c_1,39.86,32.08,35.71,0.43,32.95,41.69,10.36,7.79,,3.55,8.72,6.05,7.15,5.33,6.6,4.31
b_1,41.93,25.04,37.36,18.02,0.41,34.17,9.57,11.92,7.93,6.89,,11.19,8.45,5.7,10.52,4.98
a_1,38.13,50.21,42.54,39.94,28.28,0.34,20.64,16.26,7.84,8.46,11.7,8.08,,6.87,,5.44
h_1,20.65,18.36,18.43,18.06,20.19,21.48,0.36,6.07,3.54,2.18,4.24,4.49,3.66,,3.06,2.34
g_1,17.45,32.16,21.69,29.08,29.73,19.91,3.54,0.33,3.61,5.65,3.93,3.96,5.65,1.46,3.5,
c_0,14.94,15.79,9.39,,19.09,20.78,2.99,6.13,0.48,5.02,3.09,2.36,3.17,1.94,2.79,1.98
d_0,13.48,8.44,,12.26,18.28,12.24,5.32,6.1,3.53,0.48,3.69,2.97,3.01,2.05,2.53,3.44
b_0,16.47,22.09,18.45,26.64,,28.19,4.99,4.68,1.66,3.17,0.45,3.45,2.7,1.93,3.41,1.78
f_0,,18.68,13.52,19.31,20.19,18.93,5.78,2.36,3.03,4.29,3.17,0.44,4.37,4.03,3.84,1.82
a_0,21.94,18.72,19.03,23.83,17.83,,7.26,5.82,3.66,4.63,2.29,4.1,0.38,2.9,,3.13
h_0,12.08,13.99,13.63,10.96,10.02,11.9,,3.35,2.89,2.96,2.43,2.78,1.81,,2.56,2.42
e_0,,,24.14,26.81,14.71,,7.33,4.55,5.64,6.01,4.91,1.69,,2.33,0.35,2.74
g_0,13.55,15.18,14.79,12.23,14.31,11.99,2.81,,4.04,3.3,2.91,4.0,2.82,1.59,2.64,
