,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,26.22,0.38,0.26,0.4,0.26,0.33,0.79,0.81,0.71,1.61,0.86,0.71,0.83,1.1,0.23,0.79
f_1,0.67,25.47,0.33,0.27,0.32,0.37,0.72,0.58,0.81,0.77,0.74,0.2,0.99,0.82,0.69,0.65
d_1,0.29,0.35,27.27,0.29,0.36,0.34,0.84,0.69,1.76,0.14,0.99,0.86,0.68,0.8,0.68,0.97
c_1,0.33,0.27,0.39,26.9,0.72,0.34,0.69,0.58,0.11,0.79,0.55,0.9,0.6,0.64,0.94,0.77
b_1,0.31,0.37,0.35,0.31,29.36,0.67,0.6,0.71,0.69,0.7,0.25,0.82,0.68,1.02,1.05,0.83
a_1,0.34,0.29,0.35,0.36,0.35,45.8,0.81,0.83,0.65,0.81,0.68,0.89,0.14,0.81,0.75,0.91
h_1,0.48,0.89,0.68,0.75,0.55,0.55,9.07,1.46,1.33,1.5,1.75,1.37,1.3,0.66,1.32,2.3
g_1,0.47,0.51,1.03,0.85,0.59,0.37,1.46,12.33,1.19,1.28,1.49,2.61,1.35,1.66,1.49,0.53
c_0,0.64,0.8,0.8,0.3,0.59,0.49,1.22,1.56,5.73,1.3,3.41,1.78,2.32,2.12,1.68,2.11
d_0,0.66,0.9,0.11,1.54,0.56,0.63,1.34,1.09,1.0,5.83,1.3,1.39,1.01,1.29,1.16,1.17
b_0,0.54,1.02,0.7,0.76,0.13,0.51,1.23,1.41,1.97,1.37,6.93,1.69,4.16,2.28,1.46,1.9
f_0,0.62,0.22,0.75,0.75,0.71,0.71,1.37,1.6,1.51,1.3,1.9,7.5,1.25,1.54,4.15,1.64
a_0,0.64,0.74,0.7,0.97,0.51,0.27,1.54,1.32,1.38,1.81,1.65,1.2,9.44,1.72,1.56,2.47
h_0,0.68,1.08,0.64,0.6,0.5,0.53,0.6,2.02,1.67,1.57,1.46,1.23,1.53,0.44,1.18,2.11
e_0,0.19,0.65,0.89,0.49,0.82,0.77,1.23,1.73,2.18,1.64,2.04,1.45,1.97,2.18,9.08,2.09
g_0,0.45,0.58,1.04,0.79,0.6,0.64,1.1,0.72,1.38,1.11,1.34,2.85,1.07,1.71,2.25,0.64
