,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.45,1.85,1.98,1.97,2.0,1.57,0.39,0.67,0.35,0.37,0.37,0.79,0.2,0.46,0.31,0.45
e_1,1.08,0.44,2.32,2.38,2.0,2.15,0.61,0.77,0.42,0.44,0.48,0.49,0.34,0.39,1.02,0.32
d_1,2.21,2.26,0.42,2.2,2.34,2.05,0.55,0.36,0.38,1.11,0.39,0.41,0.29,0.41,0.41,0.17
c_1,2.02,1.72,3.02,0.41,2.13,1.77,0.81,0.69,1.11,0.24,0.44,0.49,0.27,0.35,0.4,0.32
b_1,2.92,2.34,2.14,1.14,0.39,3.02,0.76,0.64,0.64,0.52,1.3,0.44,0.37,0.46,0.55,0.31
a_1,3.06,3.0,3.48,3.39,1.24,0.32,0.68,0.75,0.65,0.57,0.65,0.51,0.57,1.74,0.54,0.39
h_1,3.2,3.36,3.01,3.22,3.79,2.87,0.33,0.98,0.71,0.87,0.6,0.66,0.86,0.57,0.61,0.5
g_1,5.19,4.15,2.66,3.64,4.09,3.93,0.89,0.3,0.79,0.77,0.82,0.78,0.42,0.83,0.61,0.79
c_0,4.76,4.16,1.91,9.41,4.22,3.2,1.11,1.04,0.37,1.08,0.65,0.68,0.56,0.72,0.7,0.49
d_0,3.87,2.06,7.54,3.59,4.3,3.23,1.02,1.4,0.82,0.42,0.93,0.84,0.62,0.79,0.69,0.67
b_0,4.1,3.73,3.36,5.5,7.51,3.48,1.27,1.04,0.41,0.74,0.36,0.78,0.57,0.68,0.68,0.61
f_0,10.99,4.21,3.39,4.89,4.38,3.52,1.37,0.67,0.9,0.93,0.83,0.33,0.62,0.67,0.72,0.35
h_0,4.95,4.15,4.12,5.25,5.53,3.63,2.11,1.11,1.08,0.75,0.81,0.76,1.25,0.81,0.8,0.76
a_0,4.69,4.61,4.4,4.53,6.15,9.99,1.52,1.37,0.86,0.92,0.46,0.96,0.65,0.34,0.88,0.81
e_0,6.5,9.22,4.51,4.99,5.58,4.55,1.68,1.64,1.25,0.95,0.88,0.53,0.57,1.01,0.32,0.72
g_0,5.75,5.85,4.23,6.57,6.18,8.04,1.2,2.19,1.13,1.13,1.06,0.99,0.57,0.96,1.14,1.48
