,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,6.18,3.96,1.84,1.99,2.05,2.07,8.25,10.16,11.07,7.96,11.21,6.13,10.27,14.08,6.78,12.96
e_1,2.41,6.24,2.01,2.66,2.18,1.92,8.42,9.06,18.14,7.93,10.7,10.52,11.23,16.42,7.41,16.03
d_1,2.6,1.98,6.92,1.68,2.04,1.81,8.58,18.29,5.54,7.78,12.46,11.67,13.86,16.94,12.6,18.67
c_1,2.0,1.91,2.06,7.02,4.35,2.02,7.25,6.22,9.61,7.33,7.14,11.42,10.27,14.33,11.31,11.99
b_1,2.18,1.98,2.24,2.29,7.44,4.56,6.76,8.4,8.77,7.95,6.42,9.91,8.1,17.33,11.25,17.87
a_1,2.65,1.94,2.46,2.41,2.08,10.03,8.72,10.35,10.1,8.52,11.0,10.39,8.13,17.78,12.65,17.26
h_1,3.31,2.55,2.49,2.44,2.05,2.12,17.84,10.85,10.26,10.84,12.92,11.4,13.72,13.27,12.12,23.12
c_0,2.67,2.42,3.0,1.81,1.85,2.48,9.63,18.15,10.27,10.07,20.68,11.68,17.23,19.35,12.52,20.82
d_0,2.38,2.42,1.73,4.54,2.74,2.08,8.32,7.37,17.97,8.94,9.6,11.42,11.95,15.99,10.95,16.63
g_1,2.11,1.98,3.78,2.54,2.36,2.4,9.42,11.37,8.84,21.11,11.37,18.84,11.89,17.41,13.47,15.13
b_0,2.53,2.59,2.79,2.62,1.59,2.15,9.75,11.67,11.22,10.31,18.74,12.29,23.86,18.22,11.98,18.46
f_0,2.1,1.84,2.65,2.84,2.62,2.54,9.57,10.73,10.99,9.3,10.19,22.04,11.01,17.27,28.57,20.34
a_0,3.01,2.46,3.01,2.42,1.98,1.99,10.05,11.51,11.24,9.1,13.46,10.42,23.92,20.87,12.73,20.56
h_0,3.25,2.39,2.69,2.53,2.21,2.61,5.65,11.54,11.74,11.58,12.27,10.13,11.19,12.47,13.68,22.63
e_0,2.85,1.52,2.3,2.81,2.57,2.76,9.97,12.34,11.04,10.78,13.23,11.94,12.59,22.54,27.51,22.01
g_0,2.18,2.21,3.95,2.45,2.18,2.53,9.23,12.06,9.29,7.0,10.77,16.12,12.44,16.93,14.93,13.05
