,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.67,6.77,6.84,5.51,6.82,4.28,1.76,1.89,2.23,1.66,2.1,,1.56,1.86,1.97,1.69
e_1,3.47,0.67,5.88,5.58,5.73,4.56,2.28,2.42,2.72,3.63,2.08,2.11,1.76,1.89,,1.6
c_1,5.85,5.32,0.65,7.59,6.53,5.35,2.5,1.54,2.36,,2.1,1.87,2.26,2.22,1.93,1.41
d_1,5.63,7.72,5.21,0.65,6.58,5.67,2.55,,1.59,3.13,2.24,2.07,1.46,2.1,2.0,1.24
b_1,5.49,6.05,4.0,6.21,0.63,7.5,3.86,2.11,2.81,2.67,,2.6,1.7,2.61,2.27,1.31
a_1,9.52,7.73,6.04,8.99,4.48,0.57,3.49,2.39,,2.36,,2.65,2.1,,,2.06
h_1,5.85,5.72,4.44,4.55,3.75,5.33,0.61,1.63,2.95,2.01,1.6,1.69,,1.65,1.91,1.6
d_0,5.28,3.04,5.08,,4.24,4.71,2.45,0.71,2.07,1.31,1.92,1.48,1.2,1.48,1.57,1.9
g_1,7.64,4.77,6.74,6.33,5.99,,1.82,2.45,0.57,2.24,1.9,2.06,1.26,1.96,1.85,
c_0,6.81,4.23,,2.73,5.05,5.85,2.06,2.16,1.73,0.69,1.62,1.96,1.54,2.31,1.39,1.45
b_0,5.26,5.31,6.69,5.39,,,2.77,1.58,2.67,1.1,0.65,2.29,1.71,2.05,1.65,1.66
f_0,,7.11,5.27,5.66,3.95,4.79,2.82,2.54,1.74,1.99,1.91,0.65,1.33,1.82,2.19,1.12
h_0,4.3,4.19,4.44,4.33,4.19,3.79,,2.12,2.74,1.45,1.45,1.62,,1.47,1.37,1.28
a_0,6.25,7.57,4.79,5.48,7.09,,2.8,2.33,2.35,1.9,1.57,2.07,1.82,0.61,,1.69
e_0,6.11,,7.08,6.11,4.66,,2.17,2.93,2.38,2.71,2.09,1.3,2.17,,0.61,1.75
g_0,4.96,6.05,5.51,5.63,8.14,4.8,1.72,1.51,,2.14,2.09,1.79,0.99,1.79,1.4,
