,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.44,2.05,1.05,2.37,2.35,2.19,0.66,0.66,0.39,0.39,0.51,0.49,0.42,1.07,0.48,0.38
d_1,2.21,0.43,2.12,2.1,2.1,1.82,0.55,0.35,0.89,0.33,0.37,0.34,0.26,0.38,0.36,0.18
f_1,2.32,1.77,0.43,2.14,1.88,1.71,0.39,0.74,0.52,0.4,0.36,0.95,0.19,0.4,0.36,0.36
c_1,1.61,2.91,2.21,0.41,2.51,1.82,0.76,0.57,0.24,1.06,0.42,0.42,0.36,0.41,0.46,0.29
b_1,2.37,2.35,3.13,1.15,0.38,2.8,0.67,0.74,0.52,0.7,1.52,0.44,0.35,0.54,0.47,0.42
a_1,3.21,2.72,3.25,2.87,1.29,0.33,0.86,0.76,0.55,0.63,0.67,0.7,0.36,0.51,2.17,0.43
h_1,3.36,3.03,3.37,3.82,3.22,3.06,0.33,1.05,0.74,0.69,0.68,0.78,1.09,0.72,0.71,0.42
g_1,3.33,3.08,4.56,3.36,3.38,3.47,0.74,0.33,0.84,0.74,0.8,0.77,0.37,0.63,0.78,0.84
d_0,2.07,8.79,3.92,3.71,3.43,4.2,1.22,1.2,0.41,1.02,0.72,0.71,0.53,0.63,0.69,0.55
c_0,4.13,1.89,4.03,10.74,4.17,3.71,1.14,1.11,1.18,0.38,0.79,0.82,0.54,0.76,0.77,0.69
b_0,4.17,2.96,3.93,5.41,9.24,3.42,1.27,1.2,1.2,0.49,0.35,0.95,0.53,0.76,0.64,0.64
f_0,3.2,3.47,12.84,4.13,4.0,4.28,1.14,0.67,0.87,0.86,0.88,0.35,0.6,0.78,0.67,0.37
h_0,4.37,4.0,5.83,4.42,4.04,4.29,2.24,1.43,0.88,0.88,0.85,0.81,1.42,0.81,0.76,0.54
e_0,7.33,4.36,7.93,5.57,5.14,3.54,1.12,1.16,0.89,1.0,0.95,0.49,0.65,0.32,0.91,0.45
a_0,4.27,4.21,4.85,6.66,10.3,9.76,1.51,1.72,1.36,0.84,0.43,1.17,0.76,0.8,0.31,0.61
g_0,5.35,4.82,5.76,6.35,5.07,5.17,0.97,1.97,1.0,1.2,1.14,0.85,0.6,0.97,0.95,1.54
