,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.87,0.09,0.16,0.08,0.07,0.04,0.06,0.05,0.07,0.07,0.07,0.01,0.07,0.04,0.04,0.06
d_1,0.1,0.88,0.07,0.06,0.07,0.05,0.09,0.07,0.16,0.03,0.09,0.08,0.08,0.05,0.05,0.05
e_1,0.1,0.07,0.88,0.08,0.07,0.04,0.07,0.06,0.07,0.16,0.07,0.08,0.09,0.05,0.02,0.06
c_1,0.1,0.09,0.07,0.87,0.15,0.03,0.07,0.06,0.01,0.07,0.06,0.07,0.08,0.05,0.04,0.06
b_1,0.08,0.09,0.08,0.08,0.88,0.1,0.05,0.05,0.06,0.07,0.01,0.05,0.08,0.05,0.05,0.08
a_1,0.08,0.09,0.05,0.09,0.08,0.87,0.09,0.07,0.09,0.06,0.06,0.08,0.11,0.01,0.06,0.06
h_1,0.21,0.14,0.14,0.18,0.08,0.07,0.52,0.12,0.13,0.13,0.15,0.12,0.04,0.09,0.09,0.16
g_1,0.13,0.25,0.12,0.13,0.12,0.08,0.08,0.53,0.12,0.13,0.13,0.19,0.1,0.07,0.1,0.05
c_0,0.18,0.22,0.15,0.07,0.08,0.08,0.12,0.13,0.39,0.15,0.24,0.15,0.16,0.1,0.09,0.12
d_0,0.15,0.05,0.16,0.27,0.09,0.09,0.13,0.11,0.11,0.39,0.16,0.12,0.11,0.1,0.09,0.09
b_0,0.19,0.19,0.17,0.15,0.02,0.08,0.12,0.13,0.14,0.14,0.38,0.09,0.16,0.19,0.08,0.11
f_0,0.06,0.17,0.12,0.21,0.1,0.09,0.09,0.12,0.12,0.18,0.15,0.37,0.16,0.1,0.22,0.13
h_0,0.21,0.18,0.15,0.12,0.12,0.08,0.03,0.16,0.14,0.14,0.12,0.11,0.05,0.08,0.09,0.15
a_0,0.16,0.16,0.16,0.2,0.09,,0.11,0.12,0.17,0.14,0.11,0.12,0.15,0.38,0.09,0.09
e_0,0.18,0.18,0.06,0.12,0.1,0.1,0.14,0.15,0.18,0.17,0.16,0.09,0.16,0.11,0.37,0.1
g_0,0.14,0.23,0.12,0.16,0.11,0.08,0.1,0.05,0.14,0.11,0.12,0.19,0.12,0.07,0.11,
