,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,116.18,12.86,12.32,17.44,34.5,44.14,2255.88,3286.32,3650.19,,9432.95,6286.4,31384.58,20378.74,18247.01,32709.52
f_1,14.92,117.36,19.61,22.11,18.01,61.27,1694.4,3305.44,3671.27,5289.73,,9035.73,23687.66,15255.0,21478.65,33526.66
d_1,13.08,9.83,125.51,12.22,20.19,65.05,1794.54,2788.37,,8759.31,7936.08,10764.16,25085.39,20668.77,23338.32,31307.01
e_1,11.39,11.89,12.48,132.84,18.88,67.12,1528.9,2368.09,6566.94,3716.22,8107.87,7581.86,32434.25,,,38984.13
b_1,9.42,13.48,10.09,12.93,164.94,102.95,1770.32,2535.03,4626.95,4712.12,6978.71,,19087.34,23145.56,25105.28,24110.94
a_1,10.91,7.31,7.27,8.66,9.68,493.65,721.76,1514.12,2373.41,3009.14,4517.21,4532.32,15686.61,,,19959.57
h_1,5.0,9.04,6.9,6.8,6.74,43.04,2977.93,1780.95,2055.5,2757.66,3840.76,4045.16,,6528.85,9652.22,24577.29
g_1,4.69,3.89,8.17,6.56,6.9,31.88,580.06,4504.74,1664.24,2363.09,4643.61,3391.96,8292.25,12629.48,9076.02,
d_0,9.53,5.97,,6.21,6.51,35.09,677.17,1204.94,4510.84,2328.04,3892.88,3242.55,8940.24,,10911.44,16205.88
c_0,,5.59,5.35,5.56,7.04,23.94,692.2,1051.67,1383.31,5641.36,3148.29,5685.43,10314.64,,10754.66,15696.61
f_0,3.61,,5.72,4.93,8.59,32.68,606.12,789.46,1167.7,2132.84,7709.6,3960.35,6404.69,11323.97,,11839.63
b_0,3.83,4.89,4.95,5.25,,22.02,560.76,948.29,1781.79,1626.59,1871.4,8016.66,12087.94,7526.92,,12885.14
h_0,3.48,5.04,3.46,4.4,7.86,24.35,,1097.99,1459.27,1620.43,2500.62,2312.1,,6952.59,10175.28,11007.57
e_0,3.0,3.59,3.06,,5.4,,758.87,536.31,,,1853.44,2617.71,6679.24,19196.39,,8947.54
a_0,4.25,3.79,3.47,,3.47,,545.9,700.05,966.27,1195.09,,,5374.06,,19614.41,10846.7
g_0,4.31,2.93,5.62,4.49,5.64,18.6,371.93,,1194.25,1454.43,2533.38,1873.57,7040.34,5506.89,7015.75,
