,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,14.65,1.29,0.51,0.55,0.47,0.48,0.89,0.84,0.82,0.77,0.83,0.41,0.74,0.57,0.86,0.92
e_1,0.57,15.19,0.83,0.52,0.38,0.53,0.84,2.05,0.83,0.82,1.23,0.94,1.11,0.53,1.11,0.91
c_1,0.58,0.4,17.84,0.48,1.49,0.58,0.84,0.8,0.33,0.75,0.54,0.94,0.95,1.11,0.73,0.74
d_1,0.73,0.56,0.41,20.11,0.5,0.41,0.85,0.39,2.08,0.86,1.04,0.96,1.19,0.93,1.05,1.08
b_1,0.51,0.47,0.56,0.55,19.86,1.56,0.8,0.74,0.8,0.74,0.32,0.89,0.91,1.02,0.58,0.86
a_1,0.55,0.42,0.52,0.64,0.59,28.21,1.15,0.9,1.02,1.36,1.1,1.18,0.83,1.0,0.39,0.94
h_1,1.08,0.66,0.62,0.98,0.68,0.62,5.14,0.92,1.09,1.51,1.22,1.31,0.64,1.39,1.2,1.79
d_0,0.64,0.72,1.98,0.35,0.9,0.62,1.04,2.74,0.94,1.07,1.21,1.27,1.31,1.48,1.17,1.34
c_0,0.75,0.68,0.42,0.93,0.54,0.69,1.46,1.24,3.34,1.22,3.71,1.37,1.45,1.19,1.53,1.55
g_1,0.59,0.59,0.92,1.35,0.64,0.75,0.95,0.92,0.93,6.52,1.11,2.03,1.11,1.31,1.14,0.53
b_0,0.91,0.8,0.8,0.68,0.35,0.37,1.48,1.16,1.35,1.48,4.2,1.13,1.72,1.31,3.95,1.29
f_0,0.45,0.5,0.93,0.97,0.73,0.88,1.23,1.24,1.07,1.27,1.45,4.33,1.19,4.0,1.46,1.44
h_0,1.2,0.6,0.74,0.79,0.57,0.71,0.67,1.26,1.36,1.64,1.51,1.08,0.81,0.97,1.22,1.76
e_0,0.69,0.38,0.84,1.1,0.84,0.67,1.35,1.17,1.32,1.12,1.18,1.56,1.11,4.46,1.56,1.8
a_0,0.99,0.73,0.71,1.02,0.77,0.21,1.03,1.72,1.39,0.91,1.26,1.19,1.74,1.61,4.97,1.46
g_0,0.53,0.57,0.67,1.98,0.63,0.63,1.06,0.79,1.32,0.88,1.27,2.35,1.04,1.45,1.4,0.83
