,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.42,0.47,0.71,0.67,0.76,0.71,0.36,0.38,0.39,0.32,0.34,0.3,0.3,0.27,0.49,0.29
f_1,0.74,0.41,0.67,0.63,0.68,0.58,0.28,0.4,0.3,0.26,0.35,0.28,0.28,0.2,0.24,0.26
c_1,0.58,0.68,0.39,0.81,0.73,0.58,0.38,0.36,0.19,0.33,0.31,0.3,0.31,0.25,0.31,0.24
d_1,0.74,0.74,0.68,0.38,0.63,0.64,0.36,0.25,0.4,0.32,0.31,0.29,0.32,0.25,0.26,0.18
b_1,0.62,0.7,0.46,0.75,0.38,0.77,0.4,0.39,0.33,0.37,0.31,0.47,0.32,0.29,0.3,0.28
a_1,0.68,0.83,0.7,0.66,0.4,0.29,0.38,0.36,0.34,0.33,0.28,0.41,0.38,0.3,0.32,0.29
h_1,0.61,0.7,0.61,0.62,0.64,0.5,0.24,0.38,0.28,0.27,0.27,0.28,0.26,0.28,0.24,0.26
g_1,0.61,0.64,0.63,0.68,0.67,0.63,0.28,0.22,0.29,0.24,0.3,0.26,0.27,0.21,0.25,0.26
d_0,0.42,0.63,0.76,0.86,0.6,0.62,0.37,0.42,0.24,0.28,0.28,0.34,0.32,0.23,0.32,0.29
c_0,0.68,0.72,0.8,0.43,0.61,0.59,0.38,0.34,0.37,0.21,0.29,0.31,0.28,0.25,0.25,0.27
f_0,0.59,0.77,0.69,0.63,0.61,0.55,0.35,0.25,0.29,0.26,0.21,0.3,0.26,0.27,0.36,0.18
b_0,0.68,0.69,0.73,0.56,0.67,0.53,0.34,0.33,0.28,0.17,0.25,0.2,0.33,0.23,0.23,0.25
a_0,0.66,0.65,0.7,0.54,0.72,0.68,0.36,0.35,0.29,0.24,0.26,0.18,0.19,0.23,0.31,0.24
h_0,0.6,0.66,0.64,0.57,0.6,0.56,0.4,0.35,0.33,0.27,0.27,0.3,0.26,0.27,0.27,0.25
e_0,0.67,0.88,0.62,0.55,0.61,0.53,0.36,0.33,0.3,0.29,0.17,0.32,0.24,0.25,0.19,0.22
g_0,0.58,0.64,0.69,0.65,0.6,0.58,0.28,0.38,0.29,0.27,0.33,0.3,0.28,0.2,0.32,0.28
