,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.4,1.65,1.13,1.15,1.06,0.86,1.86,2.41,2.21,2.36,2.21,1.49,3.11,2.64,3.04,2.07
e_1,1.1,2.43,1.06,1.29,1.09,1.14,2.09,4.23,2.23,2.31,2.81,2.98,3.23,2.24,3.54,2.29
d_1,1.35,1.13,2.51,0.88,1.13,1.04,2.11,1.31,1.96,4.21,2.66,2.43,2.91,3.13,2.68,2.7
c_1,1.1,1.03,1.23,2.56,1.79,1.0,1.99,1.76,2.19,1.15,1.99,2.74,2.87,2.61,2.74,2.28
b_1,1.11,1.09,1.06,1.08,2.7,2.15,2.23,2.55,2.06,2.34,1.52,2.3,2.51,1.95,3.17,2.33
a_1,1.33,1.16,1.21,1.25,0.79,3.34,3.25,2.62,2.69,2.17,3.26,2.23,3.73,1.79,2.73,2.74
h_1,1.57,1.22,1.39,1.35,1.1,0.97,4.03,2.16,3.06,2.31,2.65,2.31,2.45,2.23,4.17,2.9
d_0,1.16,0.94,0.77,2.23,1.35,1.3,2.82,3.97,2.08,2.19,2.77,2.79,3.06,2.34,3.84,3.67
g_1,1.15,1.2,1.82,1.08,1.22,0.88,2.12,2.57,4.51,2.93,2.61,3.9,3.44,3.12,2.26,2.72
c_0,1.33,1.35,1.1,1.17,1.1,1.44,2.57,2.7,2.45,4.03,4.72,3.28,4.02,2.83,3.75,3.11
b_0,1.34,1.32,1.39,1.49,0.88,1.01,2.51,2.66,2.44,2.43,4.14,2.53,3.98,4.82,3.28,3.0
f_0,0.95,0.94,1.47,1.48,1.37,1.34,2.74,2.89,2.29,2.75,3.22,4.34,3.73,3.45,2.9,5.68
h_0,1.59,1.21,1.43,1.25,1.28,1.11,1.78,2.73,2.85,2.53,2.86,2.53,2.53,2.71,4.27,2.47
a_0,1.11,1.45,1.33,1.34,1.44,0.93,2.9,2.66,2.3,2.5,2.47,2.91,3.45,4.81,4.46,2.69
g_0,1.22,1.02,1.82,1.41,1.14,1.2,2.34,2.47,1.86,2.42,3.01,3.96,2.78,2.67,2.74,2.82
e_0,1.36,0.8,1.17,1.62,1.42,1.32,2.34,2.72,2.56,2.71,3.45,2.49,4.51,2.61,3.72,5.13
