,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.45,1.17,0.59,0.66,0.55,0.49,0.87,0.78,0.86,0.92,0.85,0.4,0.86,0.72,0.77,0.66
e_1,0.79,2.46,0.52,0.83,0.5,0.58,0.97,0.87,0.93,1.78,1.02,0.92,0.98,1.1,0.88,0.53
d_1,0.76,0.54,2.72,0.53,0.6,0.62,0.97,0.95,1.75,0.43,1.13,1.05,1.06,1.0,1.02,0.9
c_1,0.59,0.57,0.66,2.88,1.3,0.52,0.82,0.9,0.37,0.88,0.72,1.05,0.96,0.94,0.84,0.96
b_1,0.57,0.64,0.71,0.65,3.46,1.38,0.78,0.87,0.71,0.73,0.4,0.79,0.88,0.72,0.91,0.96
a_1,0.6,0.7,0.88,0.52,0.62,4.71,0.93,0.8,0.87,0.69,1.02,1.07,1.12,0.52,1.22,1.1
h_1,0.98,0.76,0.84,0.8,0.8,0.72,2.56,1.5,0.99,1.12,1.15,1.21,0.85,1.0,1.5,1.33
g_1,0.85,0.6,1.3,0.83,0.72,0.67,1.03,3.2,1.02,0.8,1.12,1.47,1.11,1.15,0.75,1.36
c_0,0.85,0.82,0.91,0.54,0.63,0.78,1.32,1.22,2.12,0.87,2.41,1.39,1.22,1.21,1.56,1.39
d_0,0.77,0.74,0.45,1.62,0.82,0.75,1.08,1.0,0.88,2.07,1.0,1.31,1.02,0.93,1.14,1.26
b_0,0.89,0.77,0.77,0.86,0.45,0.55,1.26,1.14,1.2,1.25,2.46,1.31,1.41,2.7,1.53,1.4
f_0,0.56,0.53,0.95,0.88,0.84,1.0,1.19,1.27,1.2,1.13,1.29,2.54,1.14,1.28,1.09,2.78
h_0,1.19,0.71,0.83,0.85,0.64,0.72,0.77,1.39,1.16,1.02,1.2,1.08,0.64,1.32,1.66,1.25
a_0,1.01,0.6,0.91,0.75,0.89,0.48,1.3,1.2,1.06,1.27,0.95,1.54,1.27,3.14,1.2,1.6
g_0,0.63,0.71,1.36,0.79,0.62,0.8,1.07,0.88,1.25,0.98,1.35,1.91,1.24,1.16,0.81,1.11
e_0,0.9,0.5,0.84,0.87,0.87,0.8,1.06,1.04,1.18,1.23,1.3,1.22,1.4,1.25,1.46,3.53
