,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,2.04,0.78,1.01,0.58,0.71,0.66,0.9,1.68,0.96,0.96,1.03,0.97,1.03,1.04,0.97,0.78
f_1,1.26,2.13,0.71,0.68,0.62,0.68,0.87,0.86,0.81,0.92,0.58,0.95,0.87,0.91,0.93,0.71
c_1,0.68,0.72,2.26,0.72,1.33,0.69,0.83,0.89,0.8,0.45,0.93,0.72,1.02,0.9,1.0,0.89
d_1,0.71,0.89,0.56,2.39,0.69,0.72,1.02,0.54,0.97,1.72,1.03,1.16,1.09,0.96,1.21,1.01
b_1,0.66,0.72,0.72,0.79,2.46,1.54,0.98,0.84,0.97,0.83,1.01,0.66,0.98,0.84,0.78,0.94
a_1,0.72,0.68,0.76,0.99,0.79,3.25,0.96,0.9,1.03,0.95,1.06,1.01,0.94,0.57,0.9,1.15
h_1,0.75,1.09,0.85,0.93,0.77,0.69,1.99,0.84,1.37,1.0,1.03,0.93,0.85,1.08,1.26,1.07
d_0,0.77,0.8,1.59,0.6,0.79,0.66,1.03,1.56,0.99,0.61,1.0,0.91,1.05,1.19,0.99,1.2
g_1,0.73,0.8,0.86,1.32,0.74,0.71,1.1,0.95,2.4,0.98,1.59,1.0,0.94,0.96,0.81,1.15
c_0,0.93,0.98,0.59,0.99,0.57,0.62,1.21,1.13,1.11,1.82,1.22,2.14,1.1,1.36,1.17,1.17
f_0,0.73,0.74,0.98,0.91,0.82,0.61,1.18,1.04,1.09,1.05,1.78,1.21,1.3,1.13,1.19,2.21
b_0,0.86,1.02,0.89,0.81,0.56,0.5,1.19,1.26,1.04,1.13,1.06,2.23,1.12,2.47,1.02,1.22
h_0,0.81,1.11,0.75,1.0,0.83,0.73,0.82,0.95,1.32,1.1,0.98,1.12,0.79,1.11,1.37,1.12
a_0,0.86,0.91,0.98,0.79,0.77,0.55,1.26,1.21,1.08,0.98,1.18,1.22,1.12,2.49,1.03,1.32
g_0,0.75,0.74,0.71,1.32,0.83,0.67,1.14,0.92,0.92,1.26,1.7,1.21,1.02,1.01,0.95,1.38
e_0,0.63,0.97,0.94,1.09,0.82,0.55,1.16,1.0,1.15,1.06,0.98,1.04,1.24,1.3,1.17,2.57
