,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,16.28,0.56,0.96,0.41,0.53,0.5,0.83,0.74,0.95,0.88,1.16,0.34,0.96,1.01,0.82,0.86
c_1,0.47,18.64,0.47,1.27,0.49,0.46,0.71,1.02,0.22,0.85,0.45,0.73,0.65,0.97,0.8,0.94
e_1,0.62,0.74,18.55,0.51,0.37,0.44,1.16,2.03,0.88,0.74,0.99,0.87,0.9,0.96,0.24,1.03
b_1,0.55,0.53,0.49,18.82,0.54,1.08,0.85,0.69,0.77,0.92,0.4,0.95,0.69,0.78,1.2,0.84
d_1,0.52,0.29,0.55,0.5,22.22,0.64,0.81,0.41,2.22,0.92,1.25,1.42,1.2,1.05,1.07,1.02
a_1,0.58,0.52,0.47,0.5,0.76,31.17,0.98,0.67,0.8,0.8,1.05,1.08,0.49,0.79,1.04,1.0
h_1,0.95,0.86,0.6,0.57,0.73,0.56,6.2,1.06,1.01,1.59,1.14,1.08,1.18,0.62,0.93,1.55
d_0,0.69,1.85,0.62,0.69,0.31,0.56,1.03,3.13,0.76,0.92,0.85,1.15,1.07,1.43,1.42,1.13
c_0,0.81,0.37,0.69,0.48,0.89,0.66,1.21,1.13,3.78,1.17,3.16,1.54,1.72,1.5,1.44,1.29
g_1,0.55,0.65,0.57,0.48,1.63,0.52,0.81,0.89,1.26,7.75,1.05,1.83,1.23,1.34,1.15,0.66
b_0,0.73,0.75,0.63,0.31,0.83,0.54,0.98,1.49,1.31,1.03,4.02,1.19,3.19,1.49,1.27,1.52
f_0,0.47,0.9,0.56,0.62,0.76,0.88,1.3,1.49,1.45,1.07,1.42,4.49,1.23,1.33,3.09,1.24
a_0,0.95,0.73,0.77,0.62,0.61,0.31,1.23,1.31,1.1,1.02,1.24,1.41,5.6,1.78,1.38,1.1
h_0,1.25,0.74,0.55,0.63,0.66,0.69,0.47,1.51,1.15,1.61,1.42,1.01,1.3,0.69,1.5,1.35
e_0,0.91,0.56,0.32,0.71,0.89,0.6,1.34,1.03,1.22,1.2,1.16,1.46,1.34,1.22,5.45,1.76
g_0,0.54,0.67,0.55,0.61,1.5,0.72,1.32,1.16,1.11,0.51,1.05,2.36,1.16,1.44,1.83,0.69
