,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.34,1.11,0.95,1.31,1.04,0.75,1.9,1.76,1.87,3.6,2.2,1.98,2.79,1.43,2.85,1.82
f_1,1.68,2.36,0.96,1.02,0.84,0.77,1.79,1.64,2.11,2.33,1.42,1.99,2.52,1.31,2.07,1.74
d_1,1.08,1.17,2.47,0.93,0.84,0.84,1.92,1.75,3.81,1.64,2.17,2.57,2.95,1.96,2.56,1.82
c_1,0.98,1.1,0.94,2.53,1.67,0.94,1.91,1.63,1.24,2.07,2.04,1.4,2.67,1.64,2.34,1.65
b_1,0.98,1.06,1.06,0.97,2.71,1.66,2.03,1.71,2.08,2.0,2.06,1.26,2.57,2.13,2.36,1.3
a_1,1.1,1.17,1.16,0.97,0.91,3.04,2.04,2.03,2.29,2.09,1.93,1.93,3.03,1.75,2.58,1.09
h_1,1.23,1.52,1.18,1.11,0.86,0.88,3.53,2.47,2.17,2.24,2.01,2.0,2.36,2.13,3.03,1.84
g_1,1.17,1.07,1.6,1.04,0.74,0.97,2.05,3.78,2.37,2.22,3.14,2.19,2.39,2.14,2.26,1.86
c_0,1.18,1.2,1.32,0.98,0.81,0.91,2.03,2.07,3.47,2.55,2.42,3.95,2.93,2.19,2.53,2.7
d_0,1.14,1.22,0.8,1.93,1.25,0.82,1.93,1.68,1.37,3.22,2.19,1.71,2.85,1.71,2.48,1.98
f_0,1.02,1.06,1.16,1.35,1.16,0.88,2.16,1.73,2.31,2.49,3.6,2.52,3.12,3.82,2.96,1.89
b_0,1.13,1.23,1.31,1.24,0.92,0.73,2.11,2.11,2.43,2.42,2.5,3.84,3.27,2.33,2.44,4.28
h_0,1.15,1.38,1.26,1.19,0.97,0.89,1.6,2.25,2.19,2.38,2.17,2.06,2.48,1.85,3.45,1.9
e_0,0.81,1.46,1.2,1.15,1.04,1.08,2.38,2.09,2.56,1.87,2.22,2.3,2.9,3.93,2.62,1.79
g_0,1.01,1.04,1.56,1.13,1.05,0.92,2.33,1.39,2.45,1.98,3.26,2.12,2.77,2.55,2.25,2.05
a_0,1.12,1.24,1.31,1.25,1.13,0.68,2.1,1.88,1.99,2.44,2.24,2.17,3.13,2.09,2.61,3.89
