,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.29,1.4,1.32,1.71,3.15,20.25,28.56,33.68,38.0,43.83,50.41,68.88,103.01,112.47,163.42
e_1,0.78,1.0,1.69,1.34,1.75,3.25,21.84,34.06,34.51,36.36,47.79,62.82,83.39,126.25,125.78,143.81
c_1,0.71,0.6,1.0,1.14,1.8,2.75,17.31,14.41,23.0,26.27,26.74,38.42,58.49,90.12,77.74,107.13
d_1,0.76,0.75,0.88,1.0,1.11,2.08,15.32,18.71,30.27,21.47,35.87,34.7,55.92,74.55,86.68,82.25
b_1,0.59,0.55,0.58,0.9,1.0,2.8,13.33,13.59,22.01,22.93,27.74,31.84,45.33,67.27,58.32,85.14
a_1,0.31,0.3,0.37,0.46,0.35,1.0,7.78,8.42,11.36,11.94,18.12,17.42,23.67,36.67,41.24,46.25
h_1,0.05,0.05,0.06,0.07,0.07,0.12,1.0,1.1,1.41,1.89,2.02,2.4,3.44,5.64,5.89,7.15
d_0,0.03,0.03,0.07,0.06,0.08,0.11,0.91,1.0,1.22,1.48,1.76,2.15,3.04,5.04,4.45,6.34
c_0,0.03,0.03,0.04,0.03,0.04,0.09,0.71,0.82,1.0,1.13,1.83,1.5,2.22,3.42,3.95,4.13
g_1,0.03,0.03,0.04,0.05,0.04,0.08,0.52,0.65,0.91,1.0,1.2,1.69,1.8,3.51,3.67,3.81
b_0,0.02,0.02,0.04,0.03,0.04,0.05,0.48,0.59,0.54,0.82,1.0,1.07,1.82,2.67,3.63,3.28
f_0,0.02,0.02,0.03,0.03,0.03,0.05,0.41,0.46,0.67,0.58,0.9,1.0,1.43,2.99,2.39,2.28
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.3,0.34,0.43,0.54,0.58,0.68,1.0,1.43,1.45,2.17
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.19,0.29,0.29,0.37,0.35,0.66,1.0,1.04,1.28
a_0,0.01,0.01,0.01,0.01,0.02,0.02,0.18,0.24,0.26,0.29,0.28,0.42,0.69,1.08,1.0,1.21
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.16,0.24,0.26,0.31,0.42,0.46,0.81,0.84,1.0
