,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.2,0.45,0.21,0.2,0.2,0.14,0.44,0.5,0.48,0.32,0.34,0.09,0.47,0.21,0.31,0.47
e_1,0.23,2.23,0.26,0.23,0.13,0.18,0.42,0.89,0.39,0.29,0.55,0.45,0.62,0.1,0.4,0.5
c_1,0.25,0.19,2.39,0.19,0.41,0.16,0.39,0.51,0.1,0.36,0.31,0.45,0.61,0.44,0.32,0.45
d_1,0.32,0.25,0.16,2.43,0.21,0.13,0.35,0.1,0.82,0.34,0.45,0.48,0.71,0.37,0.4,0.54
b_1,0.24,0.17,0.24,0.23,2.54,0.41,0.39,0.43,0.4,0.28,0.06,0.41,0.56,0.41,0.23,0.38
a_1,0.22,0.18,0.19,0.21,0.24,3.0,0.5,0.55,0.56,0.53,0.45,0.45,0.51,0.33,,0.49
h_1,0.61,0.36,0.3,0.44,0.34,0.25,2.87,0.7,0.72,0.78,0.83,0.76,0.41,0.77,0.57,1.19
d_0,0.39,0.42,0.79,0.14,0.35,0.25,0.52,2.18,0.84,0.57,0.91,0.85,1.17,0.86,0.6,0.89
c_0,0.4,0.48,0.17,0.42,0.33,0.31,0.93,0.8,2.4,0.7,1.64,0.94,1.12,0.56,0.73,1.13
g_1,0.36,0.34,0.46,0.6,0.29,0.27,0.52,0.72,0.82,3.22,0.68,1.3,0.97,0.75,0.54,0.17
b_0,0.53,0.42,0.45,0.36,0.11,0.16,0.86,0.88,0.96,0.68,2.71,0.78,1.19,0.78,1.54,0.99
f_0,0.18,0.37,0.51,0.52,0.33,0.26,0.84,0.9,0.74,0.65,0.88,2.56,0.86,1.89,0.67,0.86
h_0,0.61,0.35,0.42,0.39,0.29,0.31,0.19,1.01,0.99,0.83,0.92,0.64,0.48,0.55,0.71,1.21
e_0,0.47,0.11,0.4,0.57,0.4,0.3,0.78,1.08,0.9,0.61,0.62,0.98,0.96,2.74,0.88,1.12
a_0,0.52,0.41,0.44,0.46,0.35,,0.71,1.06,1.03,0.53,0.87,0.74,1.08,0.81,2.99,1.03
g_0,0.34,0.33,0.39,0.7,0.32,0.3,0.58,0.81,0.95,,0.87,1.1,0.79,0.59,0.56,
