,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.96,0.61,0.59,0.68,0.55,0.38,0.44,0.41,0.35,0.58,0.37,0.39,0.31,0.35,0.25,0.28
f_1,0.9,0.96,0.6,0.57,0.49,0.39,0.39,0.38,0.33,0.38,0.36,0.26,0.29,0.3,0.17,0.27
d_1,0.65,0.69,0.96,0.48,0.55,0.39,0.45,0.4,0.58,0.34,0.39,0.34,0.3,0.34,0.27,0.28
c_1,0.65,0.67,0.72,0.95,0.81,0.44,0.45,0.35,0.3,0.33,0.33,0.35,0.29,0.32,0.26,0.31
b_1,0.64,0.72,0.67,0.53,0.95,0.74,0.55,0.43,0.4,0.38,0.3,0.37,0.26,0.38,0.28,0.3
a_1,0.79,0.79,0.77,0.72,0.52,0.94,0.57,0.5,0.48,0.46,0.45,0.4,0.33,0.45,0.3,0.35
h_1,0.93,1.2,1.01,0.81,0.57,0.52,0.82,0.69,0.58,0.5,0.51,0.49,0.42,0.45,0.37,0.49
g_1,0.93,0.99,1.21,0.94,0.74,0.53,0.61,0.8,0.61,0.58,0.54,0.63,0.43,0.51,0.44,0.41
c_0,1.09,1.13,0.99,0.89,0.79,0.52,0.74,0.66,0.76,0.63,0.84,0.57,0.54,0.55,0.48,0.48
d_0,0.91,1.06,0.87,1.52,0.89,0.55,0.7,0.63,0.45,0.74,0.54,0.53,0.48,0.55,0.44,0.47
b_0,1.04,1.18,1.09,0.98,0.76,0.51,0.81,0.68,0.57,0.61,0.74,0.54,0.8,0.62,0.45,0.49
f_0,0.93,1.21,1.16,1.0,0.85,0.67,0.8,0.67,0.65,0.64,0.72,0.71,0.57,0.63,0.84,0.52
a_0,1.13,1.27,1.12,1.09,0.98,0.61,0.88,0.72,0.72,0.62,0.6,0.65,0.68,0.67,0.48,0.45
h_0,1.08,1.43,1.26,1.07,1.0,0.58,0.75,0.82,0.66,0.64,0.59,0.56,0.54,0.51,0.46,0.59
e_0,1.13,1.54,1.14,0.99,1.04,0.8,0.91,0.73,0.71,0.6,0.72,0.49,0.62,0.69,0.72,0.56
g_0,1.07,1.25,1.5,1.01,1.0,0.69,0.82,0.71,0.77,0.56,0.74,0.82,0.68,0.63,0.54,0.55
