,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.39,1.82,1.1,1.29,1.15,1.05,2.18,2.12,2.49,2.72,2.43,1.63,2.81,2.11,3.02,2.07
e_1,1.23,2.4,1.09,1.54,1.03,1.14,2.57,2.53,2.74,4.46,2.89,2.88,3.5,3.35,3.24,2.12
d_1,1.41,1.14,2.5,1.07,1.15,1.13,2.53,2.24,4.2,1.88,3.04,2.85,3.59,2.78,3.09,2.67
c_1,1.14,1.05,1.3,2.61,2.13,1.13,2.23,2.36,1.51,2.19,2.18,2.85,3.37,2.73,3.04,2.72
b_1,1.16,1.29,1.33,1.04,2.89,2.22,2.13,2.39,2.34,2.28,1.65,2.32,3.26,2.24,3.45,2.75
a_1,1.23,1.34,1.54,1.12,1.0,3.38,2.48,2.24,2.55,2.18,3.13,2.82,3.83,2.18,3.92,3.01
h_1,1.59,1.3,1.38,1.37,1.41,1.28,3.97,3.34,2.57,3.0,2.87,3.08,3.19,2.62,4.49,3.33
g_1,1.48,1.09,1.93,1.39,1.29,1.23,2.27,4.47,2.73,2.35,2.92,3.49,3.38,2.95,2.79,3.54
c_0,1.46,1.39,1.27,1.22,1.21,1.37,3.07,2.92,4.04,2.58,5.06,3.37,3.79,3.17,4.39,3.33
d_0,1.32,1.09,1.01,2.4,1.44,1.43,2.61,2.63,2.58,4.03,2.6,3.27,3.38,2.51,3.7,3.21
b_0,1.47,1.33,1.21,1.56,1.1,1.02,2.86,2.72,2.57,3.37,4.33,3.24,4.11,5.99,4.31,3.32
f_0,1.22,1.02,1.47,1.43,1.5,1.58,2.76,2.71,2.98,2.87,3.15,4.42,3.64,3.09,3.04,5.75
h_0,1.85,1.22,1.34,1.43,1.18,1.23,2.18,3.16,2.96,2.84,2.94,2.86,2.7,3.21,4.74,3.01
a_0,1.71,1.04,1.44,1.31,1.64,1.07,3.03,2.71,2.8,3.39,2.12,3.59,3.78,4.97,3.7,3.81
g_0,1.19,1.25,1.95,1.42,1.15,1.31,2.39,2.47,2.92,2.69,3.14,4.43,3.46,2.99,3.04,2.84
e_0,1.58,1.04,1.39,1.46,1.48,1.36,2.45,2.34,2.89,3.08,3.13,2.48,4.17,2.99,4.46,5.3
